method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,class_weight,f1,best_f1,elapsed_time
BO,1,110,10,17,10,sqrt,False,log_loss,balanced_subsample,0.6599743699273815,0.6599743699273815,0.3697818000000552
BO,2,199,9,4,5,,False,entropy,,0.648203099241675,0.6599743699273815,3.725533233000533
BO,3,250,9,5,3,sqrt,True,gini,balanced,0.6571550255536627,0.6599743699273815,4.431999226000698
BO,4,180,10,17,9,,True,entropy,balanced_subsample,0.6804099965449729,0.6804099965449729,7.396460277001097
BO,5,240,18,5,11,sqrt,False,gini,,0.6503740648379053,0.6804099965449729,8.6738923790017
BO,6,252,6,9,9,,True,log_loss,balanced,0.6479432031739403,0.6804099965449729,10.451864180000484
BO,7,236,17,14,5,sqrt,False,log_loss,,0.6513486513486514,0.6804099965449729,11.818289952001578
BO,8,285,23,3,14,,True,log_loss,balanced,0.6845954234489267,0.6845954234489267,20.155295273001684
BO,9,219,6,8,3,,False,entropy,balanced,0.6448257930317213,0.6845954234489267,22.08551753500069
BO,10,109,15,10,1,sqrt,False,gini,balanced_subsample,0.6790529058570296,0.6845954234489267,22.742560537000827
BO,11,286,29,2,15,,True,log_loss,balanced,0.6856262590354307,0.6856262590354307,31.31112657000085
BO,12,167,20,10,3,,True,gini,balanced_subsample,0.6944162436548224,0.6944162436548224,37.263056058000075
BO,13,183,25,8,4,,True,entropy,balanced_subsample,0.6924188674287216,0.6944162436548224,44.44570103100159
BO,14,48,25,12,1,,True,gini,balanced_subsample,0.6934316177438462,0.6944162436548224,46.7581094720008
BO,15,299,25,18,1,,True,gini,balanced_subsample,0.6926059979317477,0.6944162436548224,58.09053161400152
BO,16,203,24,4,1,log2,True,gini,balanced_subsample,0.6859099804305284,0.6944162436548224,59.74552263500118
BO,17,142,24,15,12,,True,gini,balanced_subsample,0.6932840418977203,0.6944162436548224,64.40975938500014
BO,18,65,21,20,1,,True,entropy,balanced_subsample,0.6928740796206165,0.6944162436548224,66.94909187700068
BO,19,143,23,14,3,,True,log_loss,balanced_subsample,0.6957631444614599,0.6957631444614599,72.24838678800006
BO,20,49,29,20,1,,False,log_loss,balanced_subsample,0.6505016722408027,0.6957631444614599,75.60024087700003
BO,21,112,23,16,5,sqrt,True,log_loss,balanced_subsample,0.6843992136000925,0.6957631444614599,76.54109285900086
BO,22,20,22,2,9,,True,log_loss,balanced_subsample,0.6880495356037152,0.6957631444614599,77.47502387500026
