method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,f1,best_f1,elapsed_time
BO,1,89,8,16,13,,True,0.6742349457058243,0.6742349457058243,0.8795928880008432
BO,2,62,15,9,9,log2,False,0.6550084889643464,0.6742349457058243,1.0624901020000834
BO,3,223,22,5,2,,False,0.6497082148735598,0.6742349457058243,14.192813535000823
BO,4,260,9,4,4,sqrt,True,0.6581167735403307,0.6742349457058243,14.769000689999302
BO,5,101,20,8,11,log2,True,0.6543251430494783,0.6742349457058243,15.069737822999741
BO,6,186,5,14,6,sqrt,False,0.5665914221218962,0.6742349457058243,15.305065553000532
BO,7,250,20,20,11,sqrt,False,0.6800592787749054,0.6800592787749054,16.690122448000693
BO,8,96,27,3,8,sqrt,True,0.6841339155749636,0.6841339155749636,17.217442232000394
BO,9,220,6,9,1,sqrt,True,0.6131592873522668,0.6841339155749636,17.57753240999955
BO,10,155,30,16,2,,False,0.6514233797698364,0.6841339155749636,26.938759398999537
BO,11,242,25,12,12,sqrt,True,0.6772193211488251,0.6841339155749636,28.359444387999247
BO,12,260,20,2,5,sqrt,True,0.6811998033109327,0.6841339155749636,29.90904017899993
BO,13,252,28,20,13,sqrt,False,0.6818848850481004,0.6841339155749636,31.488447883000845
BO,14,289,29,2,15,sqrt,False,0.6816114359974009,0.6841339155749636,33.22719440199944
BO,15,271,30,6,1,sqrt,False,0.6866911647227991,0.6866911647227991,36.87222363199908
BO,16,300,30,2,1,sqrt,True,0.6918199112238428,0.6918199112238428,40.6643717930001
BO,17,20,27,20,1,sqrt,True,0.697911684999203,0.697911684999203,41.010508729999856
BO,18,300,26,20,1,sqrt,True,0.6926295461860316,0.697911684999203,43.39106657800039
BO,19,20,30,16,1,sqrt,True,0.6958313520367728,0.697911684999203,43.773840124000344
BO,20,20,26,20,1,sqrt,False,0.6897985289414774,0.697911684999203,44.1646620850006
BO,21,20,30,20,1,sqrt,True,0.6942148760330579,0.697911684999203,44.55367945500075
BO,22,20,30,20,1,log2,True,0.6818622696411252,0.697911684999203,44.869316873999196
BO,23,20,25,20,15,sqrt,True,0.6764037650113599,0.697911684999203,45.15531017499961
BO,24,300,15,20,1,sqrt,True,0.6754022225908111,0.697911684999203,46.88641307999933
BO,25,300,30,2,15,log2,False,0.6567013772253947,0.697911684999203,47.940000044000044
BO,26,300,13,2,15,,True,0.6919492206331351,0.697911684999203,54.312746509000135
BO,27,20,13,2,1,,True,0.6906290115532734,0.697911684999203,55.00602462899951
BO,28,20,14,2,15,sqrt,True,0.6651092941765393,0.697911684999203,55.231666159999804
BO,29,300,11,2,1,,True,0.6883011520363459,0.697911684999203,60.3908916929995
BO,30,300,14,20,1,,True,0.6953462338077723,0.697911684999203,67.63291560200014
BO,31,20,13,20,15,,True,0.6894219932378038,0.697911684999203,68.33304838799995
BO,32,20,23,20,1,sqrt,True,0.6948176583493282,0.697911684999203,68.63788842100075
BO,33,20,30,2,1,sqrt,True,0.6836830566865018,0.697911684999203,69.06080539499999
BO,34,300,30,20,1,sqrt,True,0.6949288113901776,0.697911684999203,71.69187468000018
BO,35,20,16,20,1,,True,0.6953324808184144,0.697911684999203,72.49929467100083
BO,36,300,15,4,1,,True,0.6942675159235668,0.697911684999203,80.96370415099955
BO,37,300,16,20,12,,True,0.6932270916334662,0.697911684999203,88.99224430399954
BO,38,300,17,20,1,,True,0.6956798979754504,0.697911684999203,98.28219548699963
BO,39,300,23,2,1,sqrt,False,0.6888817686638897,0.697911684999203,102.08398204100013
BO,40,20,27,20,1,sqrt,True,0.697911684999203,0.697911684999203,102.44012859800023
BO,41,132,28,14,1,sqrt,True,0.6948176583493282,0.697911684999203,103.96029178299978
BO,42,287,15,13,1,,True,0.6959157626037014,0.697911684999203,111.80386478699984
BO,43,300,15,20,1,,False,0.6775313113022484,0.697911684999203,123.11489845600045
BO,44,300,30,12,1,sqrt,True,0.6915708812260536,0.697911684999203,125.94446134200007
BO,45,300,10,2,1,log2,True,0.6276651982378855,0.697911684999203,126.66354934499941
BO,46,300,24,20,1,log2,False,0.6836268754076973,0.697911684999203,128.8933058069997
BO,47,300,30,20,1,log2,False,0.6851702436662901,0.697911684999203,132.11225240199929
BO,48,20,15,9,15,,True,0.6920359666024406,0.697911684999203,132.88650343900008
BO,49,20,27,17,1,sqrt,True,0.6864284569780484,0.697911684999203,133.22628321900083
BO,50,300,10,8,1,,True,0.6804665680959422,0.697911684999203,137.6891209000005
BO,51,20,30,14,1,sqrt,True,0.6944707740916272,0.697911684999203,138.0622522499998
BO,52,300,30,15,1,sqrt,True,0.6958738250756731,0.697911684999203,140.68962107299922
BO,53,20,16,16,1,,True,0.6953187410129413,0.697911684999203,142.01132247900023
BO,54,20,15,20,1,log2,True,0.6644462947543713,0.697911684999203,142.28492728200035
BO,55,300,16,14,15,,True,0.692369220924652,0.697911684999203,150.07473700000082
BO,56,300,30,15,1,sqrt,False,0.6942492012779553,0.697911684999203,153.73509116499918
BO,57,300,25,7,1,sqrt,True,0.6913342944097389,0.697911684999203,156.3442412330005
BO,58,300,15,17,1,,True,0.6964856230031949,0.697911684999203,164.59625056000004
BO,59,20,22,20,1,,True,0.6983471074380165,0.6983471074380165,165.98901174499952
BO,60,20,20,20,1,,True,0.6936176985516473,0.6983471074380165,166.99925371999961
BO,61,300,24,20,1,,True,0.6991612596929894,0.6991612596929894,178.82857052200052
BO,62,20,24,20,1,,True,0.6981610653138871,0.6991612596929894,180.1939447090008
BO,63,300,23,20,15,,True,0.6948803296877477,0.6991612596929894,189.34250742900076
BO,64,300,23,20,1,,True,0.6989400411327321,0.6991612596929894,201.23868858099922
QMC,1,32,12,4,8,,False,0.6696107294733399,0.6696107294733399,0.9984305060006591
QMC,2,200,27,17,2,sqrt,True,0.6895551257253385,0.6895551257253385,2.4050611610000487
QMC,3,281,5,7,15,log2,True,0.3674960054782013,0.6895551257253385,2.7607869700004812
QMC,4,91,20,11,7,,False,0.64739336492891,0.6895551257253385,7.118610733001333
QMC,5,159,10,20,5,,False,0.6744715447154471,0.6895551257253385,10.181367331000729
QMC,6,248,22,6,13,sqrt,True,0.6732122402225496,0.6895551257253385,11.254365236000012
QMC,7,189,16,13,4,sqrt,True,0.6738553417385534,0.6895551257253385,12.100428695999653
QMC,8,78,28,9,10,log2,False,0.6654430168529951,0.6895551257253385,12.395876413000224
QMC,9,61,7,15,12,sqrt,False,0.6230837004405286,0.6895551257253385,12.513851722000254
QMC,10,172,18,11,6,log2,True,0.6565503287809813,0.6895551257253385,13.008195980000892
QMC,11,231,13,18,11,,True,0.6941327348509138,0.6941327348509138,17.97329085199999
QMC,12,142,25,5,3,log2,False,0.6769027571404986,0.6941327348509138,18.696971535000557
QMC,13,109,15,9,1,sqrt,False,0.6770505385252693,0.6941327348509138,19.300070684001184
QMC,14,298,30,13,9,,True,0.697103274559194,0.697103274559194,29.13234236199969
QMC,15,217,8,2,8,log2,True,0.5859778597785977,0.697103274559194,29.454426518001128
QMC,16,50,23,16,14,sqrt,False,0.6832277967202468,0.697103274559194,29.766491203999976
QMC,17,46,7,10,4,,True,0.660584558202399,0.697103274559194,30.14983616599966
QMC,18,221,22,15,10,log2,False,0.6601680672268908,0.697103274559194,30.853311253000356
QMC,19,285,14,5,5,sqrt,False,0.6744186046511628,0.697103274559194,32.08698338400063
QMC,20,122,29,19,13,,True,0.693619709412508,0.697103274559194,35.977754499001094
QMC,21,129,12,13,14,log2,True,0.6273757628596338,0.697103274559194,36.243788629000846
QMC,22,243,24,8,6,sqrt,False,0.6883811375789985,0.697103274559194,37.91968053799974
QMC,23,167,6,16,9,log2,False,0.4973458554512046,0.697103274559194,38.10232654200081
QMC,24,65,18,3,3,,True,0.695472597299444,0.697103274559194,40.38215861200115
QMC,25,83,16,17,8,log2,True,0.6543189089072234,0.697103274559194,40.59950201799984
QMC,26,185,27,3,13,,False,0.6654164713236443,0.697103274559194,49.460612144999686
QMC,27,262,9,12,1,log2,False,0.6128743051819975,0.697103274559194,49.87333275000128
QMC,28,146,21,7,10,sqrt,True,0.6778050778050778,0.697103274559194,50.585656000999734
QMC,29,105,4,6,11,sqrt,True,0.453695836873407,0.697103274559194,50.74859225200089
QMC,30,268,19,19,3,log2,False,0.6727849157350242,0.697103274559194,51.82107610000094
QMC,31,205,11,9,12,,False,0.6701794829573522,0.697103274559194,56.55472921799992
QMC,32,28,26,14,6,sqrt,True,0.6826735885788449,0.697103274559194,56.76126672400096
QMC,33,21,6,18,2,log2,True,0.496468213925328,0.697103274559194,56.814440383001056
QMC,34,211,20,4,9,sqrt,False,0.6795861389390705,0.697103274559194,58.040420683000775
QMC,35,270,11,15,7,log2,False,0.6341463414634146,0.697103274559194,58.56518479599981
QMC,36,102,26,11,14,,True,0.6941232377633455,0.697103274559194,61.7108109159999
QMC,37,148,17,2,12,,True,0.6927374301675978,0.697103274559194,65.85070156000074
QMC,38,259,28,16,5,log2,False,0.6713008937437934,0.697103274559194,66.94764846200087
QMC,39,178,10,8,11,sqrt,False,0.6591330747174903,0.697103274559194,67.40682623900102
QMC,40,89,21,13,4,,True,0.6988600379987334,0.6988600379987334,70.57879361699997
QMC,41,72,13,7,6,sqrt,True,0.6711229946524064,0.6988600379987334,70.83564767000098
QMC,42,161,25,11,12,log2,False,0.6615538512837612,0.6988600379987334,71.34988444600094
QMC,43,242,7,4,4,,False,0.6524991499489969,0.6988600379987334,73.72524149700075
QMC,44,132,18,18,11,sqrt,True,0.6722939424031777,0.6988600379987334,74.29325833599978
QMC,45,121,8,14,9,log2,True,0.5690721649484536,0.6988600379987334,74.49403701800111
QMC,46,288,23,9,2,,False,0.6480207855723674,0.6988600379987334,90.94420121400071
QMC,47,229,15,20,14,log2,False,0.6482523444160273,0.6988600379987334,91.51760767700034
QMC,48,40,29,6,7,sqrt,True,0.6829030686799805,0.6988600379987334,91.7839188070011
QMC,49,52,14,12,10,,False,0.69164265129683,0.6988600379987334,93.6941170150003
QMC,50,215,29,7,4,log2,True,0.6732869910625621,0.6988600379987334,94.51539708400014
QMC,51,291,8,17,13,sqrt,True,0.6369733447979363,0.6988600379987334,95.03357518300072
QMC,52,116,23,4,5,log2,False,0.6712191872085277,0.6988600379987334,95.51258668999981
QMC,53,135,6,10,7,,False,0.648224043715847,0.6988600379987334,96.58447264099959
QMC,54,237,17,14,15,sqrt,True,0.665449717889147,0.6988600379987334,97.49393400000008
QMC,55,173,13,6,2,log2,True,0.6540880503144654,0.6988600379987334,97.92486371300038
QMC,56,59,24,19,8,,False,0.6554086346981042,0.6988600379987334,100.89318927900058
QMC,57,77,9,5,14,sqrt,False,0.6465781409601634,0.6988600379987334,101.08231595300094
QMC,58,192,20,18,8,,True,0.6951413147030804,0.6988600379987334,107.12129211400133
QMC,59,255,16,10,9,log2,True,0.6521002710027101,0.6988600379987334,107.73396305200004
