method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,best_f1,elapsed_time
BO,1,125,29,15,9,0.668954248366013,0.668954248366013,0.7880487969996466
BO,2,63,8,3,13,0.6113325246924276,0.668954248366013,0.9662905959994532
BO,3,188,23,2,15,0.6619369740966837,0.668954248366013,1.917475337999349
BO,4,253,9,5,3,0.6357388316151202,0.668954248366013,2.6119922979996772
BO,5,105,18,10,5,0.665449717889147,0.668954248366013,3.2513884139989386
BO,6,191,7,7,6,0.6113061797752809,0.668954248366013,3.65694158199949
BO,7,148,25,5,8,0.6696035242290749,0.6696035242290749,4.548996920999343
BO,8,186,5,13,3,0.5574198359433259,0.6696035242290749,4.883105495000564
BO,9,38,29,20,13,0.657682826622843,0.6696035242290749,5.116880736999519
BO,10,105,6,15,7,0.5985815602836879,0.6696035242290749,5.34187501300039
BO,11,48,25,11,6,0.6749509483322433,0.6749509483322433,6.85461006100013
BO,12,103,24,11,15,0.6592971456855304,0.6749509483322433,7.617975892999311
BO,13,112,26,11,1,0.6813504823151125,0.6813504823151125,8.791066203999435
BO,14,300,30,4,1,0.6818471337579618,0.6818471337579618,12.23436757699892
BO,15,290,30,10,1,0.6840422129836904,0.6840422129836904,15.11208927000007
BO,16,300,24,6,1,0.6807345360824743,0.6840422129836904,17.94150321899906
BO,17,300,30,7,14,0.6640316205533597,0.6840422129836904,19.586483130000488
BO,18,215,30,8,1,0.6809326093899712,0.6840422129836904,21.850105092999
BO,19,300,30,20,1,0.6816865143224976,0.6840422129836904,24.607569021000018
BO,20,20,30,19,1,0.6841686555290374,0.6841686555290374,25.120279889999438
BO,21,20,20,2,1,0.6761658031088082,0.6841686555290374,25.442060071000014
BO,22,300,30,15,3,0.6778947368421052,0.6841686555290374,27.75419344799957
BO,23,20,23,20,1,0.6763895640900989,0.6841686555290374,28.279447323000568
BO,24,300,15,2,1,0.6679966749792187,0.6841686555290374,30.08280475399988
BO,25,20,28,20,1,0.6780909673286355,0.6841686555290374,30.418561243999648
BO,26,20,24,2,1,0.6742728587497991,0.6841686555290374,30.801372432999415
BO,27,300,26,20,1,0.6815389589395409,0.6841686555290374,33.405219603999285
BO,28,300,20,20,1,0.6775938370758892,0.6841686555290374,35.50189059500008
BO,29,300,27,2,1,0.673829377806286,0.6841686555290374,39.195647133999955
BO,30,20,30,2,1,0.6675094816687737,0.6841686555290374,39.64290881799934
BO,31,300,24,15,1,0.6806926687166208,0.6841686555290374,42.29800463999891
BO,32,300,20,2,1,0.6759093133257218,0.6841686555290374,45.19725313100025
BO,33,20,15,20,1,0.6651232015875641,0.6841686555290374,45.6230597649992
BO,34,300,17,20,15,0.6553049289891395,0.6841686555290374,47.125133686999106
BO,35,300,24,20,6,0.6709192018318613,0.6841686555290374,49.04113207099908
BO,36,300,30,13,1,0.6846818036456668,0.6846818036456668,51.8743870269991
BO,37,300,13,20,7,0.657607783928871,0.6846818036456668,53.21102329600035
BO,38,300,26,13,1,0.6812903225806451,0.6846818036456668,55.90860057300051
BO,39,114,25,20,1,0.6795141700404859,0.6846818036456668,57.10455950600044
BO,40,174,22,10,1,0.6787800129785854,0.6846818036456668,58.685224883000046
BO,41,20,30,2,10,0.6615182385803483,0.6846818036456668,58.95685941299962
BO,42,20,18,2,15,0.6598617056305565,0.6846818036456668,59.48611084199911
BO,43,97,30,20,1,0.684505688190995,0.6846818036456668,60.45318695599963
BO,44,20,19,20,1,0.6768979591836735,0.6846818036456668,60.754703024000264
BO,45,20,13,2,5,0.6570528758494945,0.6846818036456668,60.980751170000076
BO,46,132,30,18,1,0.6852118305355716,0.6852118305355716,62.62706443800016
BO,47,152,30,17,1,0.6816143497757847,0.6852118305355716,64.22484235199954
BO,48,20,30,20,1,0.6819402749249487,0.6852118305355716,64.62245972399978
BO,49,300,30,13,1,0.6846818036456668,0.6852118305355716,67.51553632099967
BO,50,20,21,20,10,0.6609583401943027,0.6852118305355716,67.77992896099931
BO,51,300,30,13,1,0.6846818036456668,0.6852118305355716,70.64521410099951
BO,52,300,29,14,1,0.6828406169665809,0.6852118305355716,73.39402812099979
BO,53,300,30,13,1,0.6846818036456668,0.6852118305355716,76.2864271469989
BO,54,300,30,13,1,0.6846818036456668,0.6852118305355716,79.13780224999937
BO,55,300,30,13,1,0.6846818036456668,0.6852118305355716,82.0000542380003
BO,56,300,22,2,5,0.6701673777486051,0.6852118305355716,83.95049841199943
BO,57,20,30,20,4,0.674783723165652,0.6852118305355716,84.25439555599951
BO,58,300,26,12,4,0.6739378153996418,0.6852118305355716,86.3951383170006
BO,59,300,17,20,1,0.6711943018055325,0.6852118305355716,88.27350780899906
BO,60,174,30,20,1,0.6810358693903812,0.6852118305355716,89.91352444299991
BO,61,300,30,12,1,0.6839163072991535,0.6852118305355716,92.89111456799947
BO,62,300,17,2,11,0.6596736596736597,0.6852118305355716,94.442468326999
BO,63,300,30,12,1,0.6839163072991535,0.6852118305355716,97.38514160199884
BO,64,300,30,12,1,0.6839163072991535,0.6852118305355716,100.33211336900058
QMC,1,141,25,17,2,0.6788545542792428,0.6788545542792428,1.0751389480010403
QMC,2,177,9,5,8,0.6288464844421523,0.6788545542792428,1.5733779090005555
QMC,3,253,22,13,5,0.6707117087569695,0.6788545542792428,3.169857544000479
QMC,4,78,12,7,12,0.6481574962140333,0.6788545542792428,3.472704899000746
QMC,5,25,20,2,14,0.660327868852459,0.6788545542792428,3.642840612999862
QMC,6,271,14,18,7,0.6566012414024492,0.6788545542792428,4.800533345000076
QMC,7,229,30,10,11,0.6673212240222549,0.6788545542792428,6.0555186640012835
QMC,8,123,4,12,3,0.4271465741543799,0.6788545542792428,6.280633888000011
QMC,9,92,22,10,8,0.6649197510645267,0.6788545542792428,6.84505403500043
QMC,10,195,12,12,14,0.6423083489841216,0.6788545542792428,7.520337092000773
QMC,11,294,25,4,4,0.6743656473649967,0.6788545542792428,9.511685690000377
QMC,12,50,9,20,11,0.6238309664011085,0.6788545542792428,9.676096979999784
QMC,13,67,27,15,9,0.6677583101359096,0.6788545542792428,10.0877733920006
QMC,14,242,7,8,3,0.6067574739076597,0.6788545542792428,10.597356903001128
QMC,15,178,18,17,13,0.6568057171347848,0.6788545542792428,11.45415314300044
QMC,16,144,16,6,5,0.6642226295617397,0.6788545542792428,12.173910846000581
QMC,17,156,18,13,10,0.6596876038551014,0.6788545542792428,12.927193499999703
QMC,18,189,16,11,3,0.6647717772947668,0.6788545542792428,13.914236890999746
QMC,19,231,28,19,14,0.6644704332070499,0.6788545542792428,15.08431565400133
QMC,20,56,6,3,6,0.5960714285714286,0.6788545542792428,15.216894560000583
QMC,21,39,24,8,5,0.674975720297831,0.6788545542792428,15.50276019299963
QMC,22,283,10,15,12,0.6356483065343825,0.6788545542792428,16.316034786999808
QMC,23,206,21,6,1,0.6791409046534331,0.6791409046534331,17.929147652999745
QMC,24,103,13,17,8,0.655045256453235,0.6791409046534331,18.37070904200118
QMC,25,112,28,4,13,0.6643712083948188,0.6791409046534331,18.97057737400064
QMC,26,219,6,16,6,0.5969561324977619,0.6791409046534331,19.399183073999666
QMC,27,282,19,7,10,0.6633597883597884,0.6791409046534331,20.786491343000307
QMC,28,36,15,14,2,0.6640145864412399,0.6791409046534331,20.99103055300111
QMC,29,89,23,18,4,0.6748904398636585,0.6791409046534331,21.587893099000212
QMC,30,264,11,3,11,0.6370953930467546,0.6791409046534331,22.43036888000097
QMC,31,167,26,11,7,0.6700325732899023,0.6791409046534331,23.525666129000456
QMC,32,129,8,9,15,0.6097518042598135,0.6791409046534331,23.869200637000176
QMC,33,127,22,4,9,0.6671026814911707,0.6791409046534331,24.606448417000138
QMC,34,160,12,20,1,0.6554395419333109,0.6791409046534331,25.244923447000474
QMC,35,259,26,10,12,0.6646923330042778,0.6791409046534331,26.669024873001035
QMC,36,85,8,12,5,0.613751087902524,0.6791409046534331,26.89296697499958
QMC,37,32,30,17,7,0.674624939506372,0.6791409046534331,27.126245810999535
QMC,38,277,4,5,14,0.4657994125052455,0.6791409046534331,27.597203467001236
QMC,39,213,20,15,4,0.6711608023676422,0.6791409046534331,28.94388852100019
QMC,40,110,15,9,10,0.6576350560294364,0.6791409046534331,29.420890282000983
QMC,41,105,25,14,15,0.6636110656408577,0.6791409046534331,29.987767397000425
QMC,42,212,9,7,7,0.6283643892339544,0.6791409046534331,30.56091237200053
QMC,43,288,21,16,11,0.6640277090549233,0.6791409046534331,32.0183796830006
QMC,44,43,13,5,4,0.6559625355410604,0.6791409046534331,32.22248196700093
QMC,45,60,17,10,2,0.6705202312138728,0.6791409046534331,32.619373708999774
QMC,46,236,17,12,10,0.6602489626556016,0.6791409046534331,33.74797354899965
QMC,47,195,27,2,6,0.6709108716944172,0.6791409046534331,34.975511951000954
QMC,48,158,7,18,12,0.6037735849056604,0.6791409046534331,35.31877186100064
QMC,49,147,28,7,3,0.6812015503875969,0.6812015503875969,36.39261374200032
QMC,50,184,6,14,10,0.5919170243204578,0.6812015503875969,36.77163319600004
QMC,51,247,18,5,7,0.6636830764130615,0.6812015503875969,38.11532586999965
QMC,52,71,16,16,13,0.6568106312292359,0.6812015503875969,38.45018366899967
QMC,53,54,21,11,12,0.6591846839412444,0.6812015503875969,38.76222959700135
QMC,54,299,13,9,5,0.6548642724667004,0.6812015503875969,40.00876491700001
