method,evaluation,n_estimators,max_depth,f1,best_f1,elapsed_time
BO,1,110,10,0.629059829059829,0.629059829059829,0.35114350300000297
BO,2,243,20,0.6650342801175319,0.6650342801175319,2.382401174999927
BO,3,294,24,0.6682793097887437,0.6682793097887437,5.395044513000016
BO,4,22,4,0.5454881656804734,0.6682793097887437,5.462323661000028
BO,5,51,18,0.6631665299425759,0.6682793097887437,5.868871755999976
BO,6,32,18,0.66,0.6682793097887437,6.1349467940000295
BO,7,224,12,0.6428331654917757,0.6682793097887437,6.998013431999993
BO,8,226,21,0.6637455371632587,0.6682793097887437,8.969796401999929
BO,9,81,7,0.6051299947653115,0.6682793097887437,9.166725609999958
BO,10,112,15,0.6525579070154974,0.6682793097887437,9.816936888999976
BO,11,25,30,0.6669817265280403,0.6682793097887437,10.32429480299993
BO,12,69,24,0.6683829444891392,0.6683829444891392,11.217226208999932
BO,13,300,30,0.6648570972377454,0.6683829444891392,15.07357475599997
BO,14,157,30,0.6660299267749125,0.6683829444891392,17.356155360999992
BO,15,300,19,0.6597802918511231,0.6683829444891392,19.857539331999988
BO,16,250,27,0.6666666666666666,0.6683829444891392,22.882498200999976
BO,17,20,24,0.6624020470174317,0.6683829444891392,23.252324597999973
BO,18,83,30,0.6626352641629535,0.6683829444891392,24.39098964499999
BO,19,103,22,0.6666666666666666,0.6683829444891392,25.478521229999956
BO,20,69,22,0.6638491547464239,0.6683829444891392,26.22868902999994
BO,21,300,25,0.668272318561336,0.6683829444891392,29.84192529500001
BO,22,300,25,0.668272318561336,0.6683829444891392,33.146392720999984
BO,23,211,25,0.6676305220883534,0.6683829444891392,35.47479684799998
BO,24,300,24,0.6676342525399129,0.6683829444891392,38.55738478699993
BO,25,20,27,0.6573604060913706,0.6683829444891392,38.91416884699993
BO,26,215,24,0.6694628165833199,0.6694628165833199,41.208631271999934
BO,27,202,24,0.6691401839006291,0.6694628165833199,43.379663265999966
BO,28,200,24,0.6699983878768337,0.6699983878768337,45.48734378300003
BO,29,192,24,0.6696759632435918,0.6699983878768337,47.50086103000001
BO,30,188,24,0.6695666183341389,0.6699983878768337,49.49101219099998
BO,31,187,23,0.6668824862415021,0.6699983878768337,51.38685196199992
BO,32,185,24,0.6686018384131591,0.6699983878768337,53.33972359199993
