method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,class_weight,f1,best_f1,elapsed_time
BO,1,185,22,5,1,,True,log_loss,balanced,0.7053831231813773,0.7053831231813773,7.078281562000484
BO,2,190,16,6,11,sqrt,True,log_loss,,0.6502860989565803,0.7053831231813773,7.815758378001192
BO,3,100,23,6,7,sqrt,True,entropy,balanced_subsample,0.6924040542079489,0.7053831231813773,8.411948758999642
BO,4,76,17,19,4,sqrt,False,log_loss,balanced_subsample,0.6853957636566332,0.7053831231813773,8.877617202000692
BO,5,117,12,18,14,sqrt,False,log_loss,balanced,0.6701716738197425,0.7053831231813773,9.281267702999685
BO,6,211,9,12,13,sqrt,True,gini,balanced,0.6624472573839663,0.7053831231813773,9.77303043000029
BO,7,129,21,17,5,,False,log_loss,balanced,0.654748348895468,0.7053831231813773,16.162281681999957
BO,8,75,20,11,10,,True,gini,,0.6791538834167609,0.7053831231813773,18.644878651999534
BO,9,267,26,15,13,sqrt,True,log_loss,balanced_subsample,0.6882591093117408,0.7053831231813773,19.928670285000408
BO,10,274,27,5,8,log2,True,entropy,balanced,0.6784343821949348,0.7053831231813773,20.74902988699978
BO,11,101,30,2,1,,True,log_loss,balanced,0.6973082783138649,0.7053831231813773,25.658026344999598
BO,12,300,16,2,1,,True,log_loss,balanced,0.7015065913370998,0.7053831231813773,35.165947307999886
BO,13,237,21,15,1,,True,log_loss,balanced,0.7027926322043969,0.7053831231813773,43.77040013900114
BO,14,69,13,6,1,,True,log_loss,balanced,0.6951908661054088,0.7053831231813773,45.70372104800117
BO,15,300,23,2,1,,True,entropy,balanced,0.7023460410557185,0.7053831231813773,58.07518522600003
BO,16,300,25,2,1,,True,log_loss,balanced_subsample,0.7088060507833603,0.7088060507833603,71.03182596599981
BO,17,300,26,14,1,,True,entropy,balanced_subsample,0.7132848988064349,0.7132848988064349,82.66655985199941
BO,18,300,30,20,1,,True,gini,balanced_subsample,0.7140413212264771,0.7140413212264771,94.4954461289999
BO,19,100,25,20,1,,True,gini,balanced_subsample,0.7111225540679712,0.7140413212264771,98.65741280600014
BO,20,149,30,20,1,,True,entropy,balanced_subsample,0.7140802719309713,0.7140802719309713,104.57556767400092
BO,21,300,30,20,1,,True,log_loss,balanced_subsample,0.7141740489838457,0.7141740489838457,116.19541750499957
BO,22,300,30,20,5,,True,entropy,balanced_subsample,0.7101152368758002,0.7141740489838457,126.86567581199961
BO,23,300,30,20,1,,True,entropy,balanced_subsample,0.7141740489838457,0.7141740489838457,138.44508721800048
BO,24,300,30,20,1,log2,True,gini,balanced_subsample,0.7046271877247663,0.7141740489838457,140.61504148600034
BO,25,209,30,9,1,,True,entropy,balanced_subsample,0.7075536128944133,0.7141740489838457,149.39438725900072
BO,26,300,26,20,1,,True,entropy,balanced_subsample,0.7143952953208897,0.7143952953208897,160.69815222600118
BO,27,300,26,20,1,,True,log_loss,balanced_subsample,0.7143952953208897,0.7143952953208897,171.9960373369995
BO,28,300,30,20,1,sqrt,True,entropy,balanced_subsample,0.7092924126172208,0.7143952953208897,174.72161492099985
BO,29,247,28,20,1,,True,entropy,balanced_subsample,0.7122757196334065,0.7143952953208897,184.26468958000078
BO,30,300,17,20,1,,True,entropy,balanced_subsample,0.7105358654892948,0.7143952953208897,193.50359718599975
BO,31,300,25,20,1,,True,gini,balanced_subsample,0.7122653638467472,0.7143952953208897,204.79878094800006
BO,32,20,30,20,1,,True,log_loss,balanced_subsample,0.709727626459144,0.7143952953208897,205.8483276730003
BO,33,300,26,20,1,,True,log_loss,balanced_subsample,0.7143952953208897,0.7143952953208897,217.03867580100086
BO,34,300,30,20,1,,True,log_loss,balanced_subsample,0.7141740489838457,0.7143952953208897,228.61750811599995
BO,35,300,30,20,1,,True,entropy,,0.6914639961850262,0.7143952953208897,240.07260165300067
BO,36,300,22,16,1,,True,log_loss,balanced_subsample,0.7118772018117765,0.7143952953208897,250.7875706169998
BO,37,300,4,20,1,log2,True,entropy,balanced_subsample,0.6182713011381114,0.7143952953208897,251.45636875200034
BO,38,300,30,2,1,sqrt,False,entropy,balanced_subsample,0.7023995826812728,0.7143952953208897,256.3761051620004
BO,39,300,30,20,1,log2,False,gini,balanced_subsample,0.7003789673140691,0.7143952953208897,258.99908782199964
BO,40,20,30,20,1,sqrt,True,gini,balanced_subsample,0.7086824529447481,0.7143952953208897,259.3480068589997
BO,41,20,30,20,1,sqrt,False,gini,balanced_subsample,0.7021276595744681,0.7143952953208897,259.7721890089997
BO,42,300,30,2,1,sqrt,True,gini,balanced_subsample,0.709051724137931,0.7143952953208897,263.58798030400067
BO,43,20,30,2,1,sqrt,True,entropy,balanced,0.6956521739130435,0.7143952953208897,264.029766560001
BO,44,20,30,2,15,log2,False,gini,balanced_subsample,0.6737441173251615,0.7143952953208897,264.2851466539996
BO,45,300,23,20,1,,True,entropy,balanced_subsample,0.7136752136752137,0.7143952953208897,275.0283611350005
BO,46,300,30,20,1,sqrt,False,gini,balanced,0.7077702702702703,0.7143952953208897,278.3822665940006
BO,47,300,30,20,1,sqrt,False,gini,,0.6849846452238565,0.7143952953208897,281.69343491499967
