method,evaluation,n_estimators,max_depth,f1,best_f1,elapsed_time
BO,1,63,23,0.6871597822606468,0.6871597822606468,0.6696804380000003
BO,2,93,18,0.681505728314239,0.6871597822606468,1.3572994499999709
BO,3,24,28,0.6825873794085087,0.6871597822606468,1.6705846009999732
BO,4,273,4,0.39901588011630507,0.6871597822606468,2.0958543889999532
BO,5,288,7,0.6181371689177337,0.6871597822606468,2.6600082519999546
BO,6,99,20,0.6843381283336027,0.6871597822606468,3.5207467189999875
BO,7,285,27,0.683588761174968,0.6871597822606468,6.730611828999997
BO,8,20,18,0.6764561918746941,0.6871597822606468,6.92082071599998
BO,9,175,17,0.677201646090535,0.6871597822606468,8.060928493000006
BO,10,235,8,0.6379668049792531,0.6871597822606468,8.586027007999974
BO,11,300,30,0.6844444444444444,0.6871597822606468,12.396450632999972
BO,12,300,22,0.6869467246096893,0.6871597822606468,15.194302090999997
BO,13,300,13,0.6642165051787504,0.6871597822606468,16.527718435999986
BO,14,300,19,0.6818848850481004,0.6871597822606468,18.86906714099996
BO,15,20,30,0.6746911624960406,0.6871597822606468,19.259806588000004
BO,16,20,25,0.6751081904151306,0.6871597822606468,19.60160717499997
BO,17,20,22,0.6802241793434748,0.6871597822606468,19.928149663
BO,18,300,24,0.6865384615384615,0.6871597822606468,23.07963728499999
BO,19,208,23,0.6845659163987138,0.6871597822606468,25.21416551499999
BO,20,300,29,0.6857958148383005,0.6871597822606468,29.034284335999985
BO,21,300,21,0.6875707127848715,0.6875707127848715,31.718233089999956
BO,22,20,14,0.663681592039801,0.6875707127848715,31.93984471799996
BO,23,300,23,0.6858428410734373,0.6875707127848715,34.894630262999954
BO,24,300,28,0.6870034953924372,0.6875707127848715,38.44639465
BO,25,300,21,0.6875707127848715,0.6875707127848715,41.09552635799997
BO,26,300,10,0.6564448188711036,0.6875707127848715,42.073824756999954
BO,27,186,28,0.6832219038522763,0.6875707127848715,44.34870848699995
BO,28,218,20,0.6845854922279793,0.6875707127848715,46.174399738999966
BO,29,20,23,0.6840006380602967,0.6875707127848715,46.557422118999966
BO,30,100,23,0.6879409878127004,0.6879409878127004,47.614735628000005
BO,31,300,25,0.6851466111200128,0.6879409878127004,50.82951010299996
BO,32,146,22,0.6877113866967306,0.6879409878127004,52.81546148999996
BO,33,182,21,0.6861384540906891,0.6879409878127004,54.47909095799997
BO,34,300,16,0.6720661157024793,0.6879409878127004,56.314666244999955
BO,35,20,11,0.6522633744855967,0.6879409878127004,56.85847056099999
BO,36,193,30,0.6836248012718601,0.6879409878127004,59.34071411499997
BO,37,117,29,0.6799299697596689,0.6879409878127004,60.845085170999994
BO,38,148,19,0.6814404432132964,0.6879409878127004,62.14332471199998
BO,39,119,22,0.685217950780119,0.6879409878127004,63.31698793099997
BO,40,191,22,0.6861830464854431,0.6879409878127004,65.14071348299996
BO,41,120,24,0.6850103983362662,0.6879409878127004,66.530990121
BO,42,140,23,0.6869886090165249,0.6879409878127004,67.95381322899999
BO,43,164,14,0.6673316708229426,0.6879409878127004,68.81303874599996
BO,44,243,29,0.6851616994292962,0.6879409878127004,71.92440890399996
BO,45,97,27,0.6838668577799013,0.6879409878127004,73.14569633899998
BO,46,219,25,0.6856502959526476,0.6879409878127004,75.50881939499999
BO,47,169,26,0.6853879105188005,0.6879409878127004,77.44156139899997
BO,48,300,20,0.6850113305276788,0.6879409878127004,80.05228938899995
BO,49,20,20,0.6759199483537767,0.6879409878127004,80.33951138499998
BO,50,75,16,0.6717684245549825,0.6879409878127004,80.871958753
BO,51,158,22,0.686384825590741,0.6879409878127004,82.523946706
BO,52,250,22,0.6863029132464188,0.6879409878127004,84.91710168099996
BO,53,231,21,0.6867936712948014,0.6879409878127004,86.99029693399996
BO,54,249,30,0.6829733163913596,0.6879409878127004,90.14142079699997
BO,55,76,24,0.6857051691129546,0.6879409878127004,91.04416039699998
BO,56,263,24,0.6840839878185606,0.6879409878127004,94.225497615
BO,57,220,27,0.6848224239528587,0.6879409878127004,96.79532629699997
BO,58,276,21,0.6874394575395544,0.6879409878127004,99.21463297499997
BO,59,245,18,0.6770696452036794,0.6879409878127004,100.976601431
BO,60,116,23,0.6868881399454341,0.6879409878127004,102.17538569599998
BO,61,86,23,0.6878612716763006,0.6879409878127004,103.19491313999998
BO,62,63,28,0.6816740646797718,0.6879409878127004,104.072412654
BO,63,20,6,0.5830108715680855,0.6879409878127004,104.21601075999996
BO,64,134,11,0.6592480188838307,0.6879409878127004,104.74096621499996
QMC,1,40,13,0.6698867421718854,0.6698867421718854,0.20242913700002418
QMC,2,207,22,0.6863029132464188,0.6863029132464188,2.115257406000012
QMC,3,260,6,0.5966371361417465,0.6863029132464188,2.577444748000005
QMC,4,128,30,0.6838689251226848,0.6863029132464188,4.181231861000015
QMC,5,112,8,0.6385187748745458,0.6863029132464188,4.460829117999992
QMC,6,277,25,0.6848,0.6863029132464188,7.464179039000044
QMC,7,189,15,0.6700877338189042,0.6863029132464188,8.513619812000002
QMC,8,58,18,0.6798625879273679,0.6863029132464188,9.080003076000025
QMC,9,82,5,0.5649696746921522,0.6863029132464188,9.240060427000003
QMC,10,160,27,0.685959612020989,0.6863029132464188,11.088987754000016
QMC,11,283,11,0.6592667339387823,0.6863029132464188,12.03452211199999
QMC,12,101,22,0.6859344894026975,0.6863029132464188,13.04671778200003
QMC,13,152,15,0.6703096539162113,0.6863029132464188,13.862464138000007
QMC,14,232,20,0.6829742426696905,0.6863029132464188,15.752406092000001
QMC,15,214,10,0.6563290072475981,0.6863029132464188,16.388036989
QMC,16,29,25,0.6797113071371291,0.6863029132464188,16.74693510100002
QMC,17,21,9,0.6439057698873336,0.6863029132464188,16.84265130900002
QMC,18,223,26,0.6848792884371029,0.6863029132464188,19.299451109000017
QMC,19,240,16,0.672179953688389,0.6863029132464188,20.708898247000036
QMC,20,143,19,0.6805804663296918,0.6863029132464188,21.798191986999996
QMC,21,91,12,0.6617400067181727,0.6863029132464188,22.171076152000012
QMC,22,292,21,0.6873485215705284,0.6873485215705284,24.767759939999962
QMC,23,170,4,0.37582970931563286,0.6873485215705284,25.05653889499996
QMC,24,74,28,0.6833518137177254,0.6873485215705284,25.995586669000033
QMC,25,68,14,0.6695464362850972,0.6873485215705284,26.371310414999982
QMC,26,181,19,0.6820696387894566,0.6873485215705284,27.81229019799997
QMC,27,268,9,0.6465163934426229,0.6873485215705284,28.59163591800001
QMC,28,120,24,0.6850103983362662,0.6873485215705284,29.868976454999995
QMC,29,136,7,0.6227503057836798,0.6873485215705284,30.160491080999975
QMC,30,251,29,0.6854698146094121,0.6873485215705284,33.30404536999998
QMC,31,199,12,0.6608462055070518,0.6873485215705284,34.10734808299998
QMC,32,49,23,0.6866528464359751,0.6873485215705284,34.65676635699998
QMC,33,55,6,0.5956750863165546,0.6873485215705284,34.78149304000004
QMC,34,203,30,0.6827640984908657,0.6873485215705284,37.39589747500003
QMC,35,254,14,0.6674434087882823,0.6873485215705284,38.61686387100002
QMC,36,142,23,0.6858243698828063,0.6873485215705284,40.022180496999965
QMC,37,123,15,0.6692116182572614,0.6873485215705284,40.71565204999996
QMC,38,273,17,0.6744645799011532,0.6873485215705284,42.445938469000055
QMC,39,186,8,0.6398480662983426,0.6873485215705284,42.92743058399998
QMC,40,71,25,0.6837060702875399,0.6873485215705284,43.71812996199998
QMC,41,78,11,0.6595816464237517,0.6873485215705284,44.00772049900007
QMC,42,175,21,0.6861290322580645,0.6873485215705284,45.571357836000004
QMC,43,297,5,0.5637108792846498,0.6873485215705284,46.053942543000005
QMC,44,95,27,0.684931506849315,0.6873485215705284,47.18894452500007
QMC,45,148,10,0.6552130705743642,0.6873485215705284,47.63616961400004
QMC,46,243,26,0.6855235976481805,0.6873485215705284,50.369168169000034
QMC,47,227,16,0.6719602977667494,0.6873485215705284,51.725401352999995
QMC,48,26,20,0.6801801801801802,0.6873485215705284,52.013975645000016
QMC,49,34,17,0.6745562130177515,0.6873485215705284,52.28705952299998
QMC,50,217,19,0.6821806346623271,0.6873485215705284,53.972758158999966
QMC,51,235,10,0.6580232362350564,0.6873485215705284,54.69303197000005
QMC,52,157,26,0.6857142857142857,0.6873485215705284,56.458070992000046
QMC,53,104,4,0.3821858668484435,0.6873485215705284,56.63623831399997
QMC,54,289,28,0.6870131934509617,0.6873485215705284,60.02165932200006
QMC,55,166,11,0.6593776282590412,0.6873485215705284,60.574184324999976
QMC,56,86,21,0.6851255634256278,0.6873485215705284,61.36534791599996
QMC,57,62,8,0.6283231972198089,0.6873485215705284,61.53034594700006
QMC,58,194,24,0.6830364307494784,0.6873485215705284,63.48645248700001
QMC,59,282,14,0.667888074616922,0.6873485215705284,64.81839020000001
QMC,60,115,18,0.6791277258566978,0.6873485215705284,65.65208382300005
QMC,61,133,13,0.6662222962839527,0.6873485215705284,66.23484766100006
QMC,62,264,23,0.6849887495981999,0.6873485215705284,68.73647240700001
QMC,63,211,7,0.6204481792717087,0.6873485215705284,69.17053698299998
QMC,64,45,29,0.6817749603803487,0.6873485215705284,69.76296301500003
