method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,best_f1,elapsed_time
BO,1,185,22,5,1,0.6789679947746571,0.6789679947746571,1.5310418919998483
BO,2,77,6,15,11,0.588341454611081,0.6789679947746571,1.676055157000519
BO,3,153,16,2,12,0.6510609632873021,0.6789679947746571,2.350586798000222
BO,4,189,29,14,10,0.666776424102733,0.6789679947746571,3.372252060000392
BO,5,146,10,14,12,0.6357118470467736,0.6789679947746571,3.7834635060007713
BO,6,92,6,20,4,0.5781221176904631,0.6789679947746571,3.963843490000727
BO,7,99,24,17,9,0.6639004149377593,0.6789679947746571,4.516393391000747
BO,8,127,14,7,12,0.6480390506648712,0.6789679947746571,4.995172177999848
BO,9,87,15,18,5,0.6571763523697873,0.6789679947746571,5.395071573000678
BO,10,240,24,9,4,0.6710613052076466,0.6789679947746571,6.907632675000059
BO,11,20,30,2,1,0.6667723525681674,0.6789679947746571,7.379718451000372
BO,12,300,19,20,1,0.6718568825575617,0.6789679947746571,9.389681578999443
BO,13,20,22,2,1,0.6752359258054019,0.6789679947746571,9.752275705001011
BO,14,300,21,2,1,0.676605504587156,0.6789679947746571,12.571484101999886
BO,15,300,30,20,1,0.6851132686084143,0.6851132686084143,15.202332177001153
BO,16,300,28,20,1,0.682024659312135,0.6851132686084143,17.71823933199994
BO,17,20,30,20,1,0.6837689577282995,0.6851132686084143,18.033035006999853
BO,18,188,30,20,1,0.6840317100792752,0.6851132686084143,19.707313619999695
BO,19,20,23,20,1,0.6805373525557011,0.6851132686084143,20.038930353999604
BO,20,300,23,20,1,0.6763982286370346,0.6851132686084143,22.297517541999696
BO,21,20,27,20,1,0.6808165910563837,0.6851132686084143,22.61482382000031
BO,22,300,30,20,1,0.6851132686084143,0.6851132686084143,25.276376193000033
BO,23,300,30,15,1,0.6847370119393352,0.6851132686084143,28.031401767000716
BO,24,20,20,13,1,0.6695392774279085,0.6851132686084143,28.33434736399977
BO,25,300,30,2,1,0.6792091836734694,0.6851132686084143,32.40246769999976
BO,26,300,17,20,15,0.6533824514400536,0.6851132686084143,33.85768194999946
BO,27,300,15,2,1,0.6613011401743796,0.6851132686084143,35.65265054700103
BO,28,20,30,20,15,0.667659715326051,0.6851132686084143,35.888032282000495
BO,29,300,30,19,1,0.6863599677158999,0.6863599677158999,38.89595351299977
BO,30,300,30,18,1,0.6851792056829189,0.6863599677158999,41.6309657540005
BO,31,300,30,9,1,0.6838626471062389,0.6863599677158999,44.578217107000455
BO,32,300,30,12,1,0.6853914447134786,0.6863599677158999,47.655184909001036
BO,33,300,26,4,1,0.6846526655896608,0.6863599677158999,50.66638695199981
BO,34,300,30,3,15,0.6617964469533455,0.6863599677158999,52.14852305200111
BO,35,20,30,13,1,0.6835686777920411,0.6863599677158999,52.848829110000224
BO,36,20,30,17,1,0.6829663212435233,0.6863599677158999,53.19115417099965
BO,37,300,30,6,1,0.6847599164926931,0.6863599677158999,56.24263915499978
BO,38,300,27,6,1,0.6835033187631536,0.6863599677158999,59.76080580599955
BO,39,300,4,2,1,0.46108540176693313,0.6863599677158999,60.26433928299957
BO,40,300,18,8,1,0.6710809468631022,0.6863599677158999,62.31106125199949
BO,41,300,28,13,1,0.6855295068714632,0.6863599677158999,64.9484776090012
BO,42,20,27,13,1,0.6810985460420033,0.6863599677158999,65.76158807399952
BO,43,300,26,15,1,0.682024659312135,0.6863599677158999,68.33589167399987
BO,44,20,18,4,1,0.6639004149377593,0.6863599677158999,68.65558860000056
BO,45,300,26,2,1,0.6793242156074014,0.6863599677158999,72.64230047400088
BO,46,20,25,5,1,0.6806654821515102,0.6863599677158999,73.0154661180004
BO,47,20,30,9,1,0.6797824696097249,0.6863599677158999,73.38365106899982
BO,48,300,17,14,1,0.6665555740709882,0.6863599677158999,75.1345611100005
BO,49,300,29,14,1,0.6837081378417732,0.6863599677158999,78.14803119799944
BO,50,300,27,12,1,0.6829030686799805,0.6863599677158999,80.85354588500013
BO,51,300,24,4,1,0.6819661458333334,0.6863599677158999,83.75836260100004
BO,52,300,28,4,1,0.6821032320308731,0.6863599677158999,86.94714490499973
BO,53,300,23,3,15,0.6593552675307411,0.6863599677158999,88.80837108699961
BO,54,20,21,18,1,0.6710591335859002,0.6863599677158999,89.10873480100054
BO,55,300,29,11,1,0.6840148698884758,0.6863599677158999,92.01816855400102
BO,56,20,25,18,1,0.6800391389432485,0.6863599677158999,92.3308993949995
BO,57,300,25,6,1,0.681251012801815,0.6863599677158999,95.2627404169998
BO,58,300,30,19,1,0.6863599677158999,0.6863599677158999,97.98399074400004
BO,59,20,15,11,1,0.6599530043638805,0.6863599677158999,98.69219743600115
BO,60,300,30,19,1,0.6863599677158999,0.6863599677158999,101.32121115900009
BO,61,300,27,18,1,0.680871828236825,0.6863599677158999,104.1989461860012
BO,62,300,30,19,1,0.6863599677158999,0.6863599677158999,107.5073976929998
BO,63,300,30,19,1,0.6863599677158999,0.6863599677158999,110.20917161699981
BO,64,20,17,12,15,0.652072192513369,0.6863599677158999,110.75600128599945
QMC,1,133,4,11,12,0.44401627060586596,0.44401627060586596,0.1920647770002688
QMC,2,267,22,13,5,0.6701969220585802,0.6701969220585802,1.6805057830006263
QMC,3,224,13,5,8,0.6482921880284072,0.6701969220585802,2.467796802000521
QMC,4,89,29,16,3,0.6781702751098811,0.6781702751098811,3.0919022090001818
QMC,5,53,15,15,4,0.658752716936967,0.6781702751098811,3.434398594999948
QMC,6,190,24,8,10,0.6606816292601829,0.6781702751098811,4.437412136001512
QMC,7,234,10,19,7,0.637358877865207,0.6781702751098811,5.0583142490013415
QMC,8,97,20,3,14,0.6545333110702956,0.6781702751098811,5.511884681000083
QMC,9,119,11,20,11,0.6428206438426163,0.6781702751098811,5.879050456000186
QMC,10,264,28,4,3,0.6781157998037292,0.6781702751098811,7.745913429000211
QMC,11,168,7,13,14,0.5969935576234788,0.6781702751098811,8.059761305001302
QMC,12,22,22,7,7,0.6662264773852756,0.6781702751098811,8.20548076399973
QMC,13,59,8,5,6,0.6228024369016536,0.6781702751098811,8.345484180999847
QMC,14,203,18,17,12,0.6542775824543781,0.6781702751098811,9.228625085001113
QMC,15,298,16,10,1,0.6636546184738956,0.6781702751098811,10.74710093199974
QMC,16,155,26,12,9,0.6621397813845644,0.6781702751098811,11.569312774001446
QMC,17,149,16,3,6,0.654066824164698,0.6781702751098811,12.252778960000796
QMC,18,283,26,19,15,0.6613545816733067,0.6781702751098811,13.550099482001315
QMC,19,205,8,7,4,0.6211461417871451,0.6781702751098811,13.96933781700136
QMC,20,69,18,14,11,0.6564325045886868,0.6781702751098811,14.303787000000739
QMC,21,33,6,18,9,0.5802173512617425,0.6781702751098811,14.381445781000366
QMC,22,171,23,6,2,0.677180877279448,0.6781702751098811,15.620885983000335
QMC,23,249,12,11,13,0.6433542692242403,0.6781702751098811,16.407558375000008
QMC,24,113,27,9,5,0.6756446050254558,0.6781702751098811,17.1558049209998
QMC,25,100,10,13,2,0.6374269005847953,0.6781702751098811,17.44424743200034
QMC,26,245,19,10,9,0.6584307178631051,0.6781702751098811,18.59720990200003
QMC,27,184,14,16,6,0.6499746235831501,0.6781702751098811,19.31740634400012
QMC,28,38,24,5,12,0.6569148936170213,0.6781702751098811,19.543213320999712
QMC,29,74,12,8,14,0.6437054631828979,0.6781702751098811,19.78942336200089
QMC,30,218,30,15,8,0.6653419440304686,0.6781702751098811,21.006040424001185
QMC,31,278,5,2,11,0.5429777436684574,0.6781702751098811,21.421033329999773
