method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,class_weight,f1,best_f1,elapsed_time
BO,1,63,23,7,9,log2,False,log_loss,,0.6507694909521393,0.6507694909521393,0.2745840289990156
BO,2,166,18,11,12,log2,True,entropy,,0.6398225558778365,0.6507694909521393,0.751302773000134
BO,3,217,12,8,15,log2,True,log_loss,balanced,0.6568016065954974,0.6568016065954974,1.285840171000018
BO,4,139,16,9,7,,True,gini,,0.6885763943750988,0.6885763943750988,5.216332853000495
BO,5,180,25,4,5,sqrt,False,gini,balanced,0.6932143265819888,0.6932143265819888,6.598207772000023
BO,6,285,5,13,1,,True,entropy,,0.6424543946932006,0.6932143265819888,8.138847836999048
BO,7,289,14,19,13,,True,gini,,0.6865198796134959,0.6932143265819888,14.86261702199954
BO,8,39,25,19,3,,True,entropy,balanced,0.6982799808886765,0.6982799808886765,16.445669271999577
BO,9,73,14,16,4,log2,True,entropy,,0.6422583404619333,0.6982799808886765,16.6656356959993
BO,10,22,4,13,2,log2,True,log_loss,balanced_subsample,0.6095525389643037,0.6982799808886765,16.731757239000217
BO,11,127,27,13,5,,True,gini,balanced,0.7001212121212121,0.7001212121212121,21.655275789998996
BO,12,97,25,19,10,,False,gini,balanced,0.6571693305536253,0.7001212121212121,26.778934359999766
BO,13,117,29,19,9,,True,gini,,0.6842687747035573,0.7001212121212121,30.936525735000032
BO,14,20,18,2,15,,True,gini,balanced,0.6927283304246655,0.7001212121212121,31.85524499100029
BO,15,151,5,20,1,,True,gini,balanced,0.661505376344086,0.7001212121212121,32.924477155000204
BO,16,171,22,20,10,,True,gini,balanced,0.6953846153846154,0.7001212121212121,38.72099204999904
BO,17,151,30,2,7,,True,entropy,balanced,0.6987922705314009,0.7001212121212121,44.36635085299895
BO,18,20,29,6,5,,True,log_loss,balanced,0.6972028826187859,0.7001212121212121,45.45921829500003
BO,19,286,25,2,1,,True,gini,balanced,0.6953405017921147,0.7001212121212121,58.41215735699916
BO,20,83,30,2,4,sqrt,True,gini,balanced,0.6955124526569494,0.7001212121212121,59.19278644000042
BO,21,300,30,20,15,sqrt,True,entropy,balanced,0.6855855855855856,0.7001212121212121,60.79601266499958
BO,22,20,30,2,1,,True,gini,balanced,0.6901336073997945,0.7001212121212121,62.103731683999285
BO,23,300,30,20,6,,True,log_loss,balanced,0.6994693680656054,0.7001212121212121,72.65421331399921
BO,24,300,27,3,15,,True,log_loss,balanced,0.6920897284533648,0.7001212121212121,81.63253776800047
BO,25,292,30,20,3,,True,entropy,balanced,0.7034616315662068,0.7034616315662068,92.58450141600042
BO,26,300,30,2,1,sqrt,False,gini,balanced_subsample,0.6947975363648277,0.7034616315662068,97.67805771999883
BO,27,300,30,2,1,sqrt,True,gini,balanced_subsample,0.7022797787670308,0.7034616315662068,101.69199959899925
BO,28,300,30,20,1,sqrt,True,log_loss,balanced_subsample,0.703115529155049,0.7034616315662068,104.41887039599897
BO,29,20,30,20,1,sqrt,True,gini,balanced_subsample,0.6973732437385461,0.7034616315662068,104.81196496699886
BO,30,300,30,20,1,sqrt,True,entropy,balanced,0.6944770857814336,0.7034616315662068,107.49697619699873
BO,31,238,30,2,1,sqrt,True,log_loss,balanced_subsample,0.7022127432684617,0.7034616315662068,110.64307697799995
BO,32,300,30,20,1,,True,entropy,balanced_subsample,0.7031551835157759,0.7034616315662068,122.48222602799979
BO,33,300,24,10,1,sqrt,True,log_loss,balanced_subsample,0.6997238564053307,0.7034616315662068,125.11644793499909
BO,34,300,30,2,7,sqrt,True,log_loss,balanced_subsample,0.6916274262087975,0.7034616315662068,127.19577663400014
BO,35,300,30,7,1,sqrt,True,log_loss,,0.6859517340578553,0.7034616315662068,130.09781670600023
BO,36,300,27,20,1,,True,log_loss,balanced_subsample,0.7040712468193384,0.7040712468193384,141.6727207189997
BO,37,300,26,20,3,,True,gini,balanced_subsample,0.7070732633177275,0.7070732633177275,152.93853441700048
BO,38,300,24,5,6,,True,gini,balanced_subsample,0.7051848114040621,0.7070732633177275,163.88205696799923
BO,39,300,25,20,5,,True,entropy,balanced_subsample,0.7033295922184811,0.7070732633177275,174.78856321899912
BO,40,300,28,16,5,,True,gini,balanced_subsample,0.705687324662076,0.7070732633177275,185.94104712899934
BO,41,300,4,2,15,sqrt,False,gini,balanced,0.6202174788562224,0.7070732633177275,186.55730471599963
BO,42,20,30,2,1,sqrt,False,log_loss,balanced,0.688392625292132,0.7070732633177275,187.22743301799892
BO,43,40,24,19,4,,True,gini,balanced_subsample,0.7028985507246377,0.7070732633177275,188.9878519920003
BO,44,300,22,20,1,,True,gini,balanced_subsample,0.7041479260369815,0.7070732633177275,200.28539584399914
BO,45,300,26,12,2,,True,gini,balanced_subsample,0.7038526397716954,0.7070732633177275,212.19420640600038
BO,46,300,24,20,5,,True,gini,balanced_subsample,0.704502931271049,0.7070732633177275,222.99906720699983
BO,47,300,30,20,1,log2,True,gini,balanced_subsample,0.6968358208955224,0.7070732633177275,225.39549686700047
BO,48,300,23,20,1,sqrt,False,gini,balanced_subsample,0.6932989690721649,0.7070732633177275,228.4320151439988
BO,49,300,30,20,1,sqrt,False,gini,balanced,0.6986846868589357,0.7070732633177275,231.99488104400007
BO,50,300,25,2,7,,True,log_loss,balanced_subsample,0.7047785839379535,0.7070732633177275,242.69669470900044
BO,51,300,21,2,11,,True,gini,balanced_subsample,0.7005497861942578,0.7070732633177275,252.5034717239996
BO,52,300,30,2,8,,True,entropy,balanced_subsample,0.7050778776750665,0.7070732633177275,263.36642793600004
BO,53,300,30,2,6,,True,log_loss,balanced_subsample,0.7037369975600359,0.7070732633177275,275.1270442360001
BO,54,300,30,20,1,log2,False,gini,balanced,0.6921438712730714,0.7070732633177275,277.981879379
BO,55,300,30,20,3,,True,gini,balanced_subsample,0.7059728274801333,0.7070732633177275,289.8149030099994
BO,56,20,26,2,8,,True,gini,balanced_subsample,0.7042606516290727,0.7070732633177275,290.8905012819996
BO,57,300,30,20,1,log2,True,log_loss,balanced,0.6904211013419713,0.7070732633177275,293.1397587629999
BO,58,300,27,2,6,,True,entropy,balanced_subsample,0.7032855511860967,0.7070732633177275,304.3995414780002
BO,59,300,30,20,5,,True,entropy,balanced_subsample,0.7047329019160005,0.7070732633177275,315.2986087979989
BO,60,20,30,2,15,,True,entropy,balanced_subsample,0.6937332357961473,0.7070732633177275,316.26101065699913
BO,61,300,29,2,9,,True,gini,balanced_subsample,0.7067839195979899,0.7070732633177275,326.63704302099904
BO,62,300,27,20,1,,True,gini,balanced_subsample,0.7042109305004479,0.7070732633177275,338.2862288079996
BO,63,300,30,20,7,sqrt,False,gini,balanced_subsample,0.6932571428571429,0.7070732633177275,340.66929609900035
BO,64,300,30,2,7,,True,gini,balanced_subsample,0.708301404853129,0.708301404853129,351.5716867489991
