method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,best_f1,elapsed_time
BO,1,63,23,7,9,0.6710289546867332,0.6710289546867332,0.3785238849995949
BO,2,24,28,19,1,0.6891934969716289,0.6891934969716289,0.6341920499999105
BO,3,288,7,7,10,0.6185530716423165,0.6891934969716289,1.2414975259998755
BO,4,285,27,2,8,0.6768679798144229,0.6891934969716289,2.9412035360001028
BO,5,175,17,16,3,0.675111037999671,0.6891934969716289,3.932733052999538
BO,6,234,4,4,2,0.39224526600541026,0.6891934969716289,4.364573101000133
BO,7,107,22,10,13,0.6684184595171621,0.6891934969716289,4.974246420999407
BO,8,101,23,15,5,0.677429876060013,0.6891934969716289,5.645145032000073
BO,9,114,30,13,15,0.6646884272997032,0.6891934969716289,6.26293251000061
BO,10,235,26,9,7,0.6800325998370008,0.6891934969716289,7.766356135000024
BO,11,300,13,20,15,0.6566113624937154,0.6891934969716289,9.550146162000601
BO,12,300,24,20,1,0.6845334194381659,0.6891934969716289,12.17334632299935
BO,13,300,30,2,1,0.6844444444444444,0.6891934969716289,16.456571145999987
BO,14,300,30,20,4,0.6859170834005485,0.6891934969716289,18.6094453959995
BO,15,300,18,20,8,0.6719341563786009,0.6891934969716289,20.209726990999116
BO,16,20,30,2,4,0.6848211408314534,0.6891934969716289,20.540634212999066
BO,17,20,9,2,15,0.6360520904729267,0.6891934969716289,20.7679380339996
BO,18,20,22,2,1,0.6802241793434748,0.6891934969716289,21.185756769000363
BO,19,20,30,20,8,0.678409825468649,0.6891934969716289,21.47699187500075
BO,20,20,30,20,1,0.6865861411315957,0.6891934969716289,21.89313012399907
BO,21,20,21,20,1,0.682596060703907,0.6891934969716289,22.33669017700049
BO,22,20,28,2,1,0.6791316748534305,0.6891934969716289,22.824256706000597
BO,23,300,20,2,3,0.6793007678483908,0.6891934969716289,24.874347654000303
BO,24,300,29,20,1,0.68832,0.6891934969716289,27.53235823400064
BO,25,20,28,20,3,0.6859702447608382,0.6891934969716289,27.917825800999708
BO,26,300,4,20,15,0.4144183989385228,0.6891934969716289,28.536169966999296
BO,27,300,10,20,1,0.65414551607445,0.6891934969716289,29.64145439999993
BO,28,300,27,20,1,0.6889460154241646,0.6891934969716289,32.224078303999704
BO,29,20,18,2,15,0.6593625498007968,0.6891934969716289,32.53075924800032
BO,30,20,26,20,1,0.6869663283389721,0.6891934969716289,32.86210034800024
BO,31,300,15,2,1,0.6713031958933598,0.6891934969716289,34.63716975600073
BO,32,300,21,20,1,0.6846905537459284,0.6891934969716289,36.815274746000796
BO,33,300,25,2,1,0.6851466111200128,0.6891934969716289,40.25381651200041
BO,34,300,26,20,1,0.6884454457676215,0.6891934969716289,42.811338531999354
BO,35,138,27,20,1,0.6918641896220371,0.6918641896220371,44.0774691989991
BO,36,300,10,2,15,0.6466190961603806,0.6918641896220371,45.08318497899927
BO,37,20,15,20,1,0.6682096214250289,0.6918641896220371,45.39580173499962
BO,38,300,22,2,1,0.6869467246096893,0.6918641896220371,48.55191257399929
BO,39,20,19,20,1,0.6768073274452078,0.6918641896220371,48.8437743329996
BO,40,20,27,20,1,0.6867239732569246,0.6918641896220371,49.16578136499993
BO,41,195,28,20,1,0.6860259906946895,0.6918641896220371,50.9951296069994
BO,42,300,16,20,15,0.6615742278312853,0.6918641896220371,52.3703754069993
BO,43,300,18,2,1,0.6776994920530887,0.6918641896220371,54.692324591000215
BO,44,300,23,2,1,0.6858428410734373,0.6918641896220371,57.842296835000525
BO,45,300,30,20,1,0.6905027932960894,0.6918641896220371,60.50873955499992
BO,46,300,26,20,15,0.6687448728465956,0.6918641896220371,62.12159755799985
BO,47,20,29,20,1,0.689238594817994,0.6918641896220371,62.457222854000065
BO,48,202,30,20,1,0.6887184403962927,0.6918641896220371,64.30174517299929
BO,49,300,22,20,1,0.685215140731155,0.6918641896220371,66.58300005799902
