method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,f1,best_f1,elapsed_time
BO,1,110,10,17,10,sqrt,False,0.6325454854616562,0.6325454854616562,0.34809075299926917
BO,2,171,5,12,11,log2,True,0.34786620530565165,0.6325454854616562,0.6137801980003132
BO,3,112,15,4,9,,True,0.6666666666666666,0.6666666666666666,3.6912885639994784
BO,4,275,17,18,13,sqrt,True,0.6439545758183033,0.6666666666666666,4.869241590000456
BO,5,79,24,16,13,log2,True,0.6264485344239945,0.6666666666666666,5.122767642000326
BO,6,180,10,17,9,,True,0.6561628097817167,0.6666666666666666,7.832415814998967
BO,7,27,24,12,12,log2,True,0.6138027187173231,0.6666666666666666,7.954690110000229
BO,8,212,28,13,1,,False,0.6246273106738223,0.6666666666666666,21.37823256000047
BO,9,292,18,7,13,,False,0.6398332264271969,0.6666666666666666,33.905277112000476
BO,10,262,29,13,8,log2,True,0.6308474576271187,0.6666666666666666,34.79248712899971
BO,11,20,21,20,15,,True,0.6687959118492495,0.6687959118492495,35.74533839099968
BO,12,20,30,20,15,sqrt,False,0.6505508962341721,0.6687959118492495,36.05535553899972
BO,13,300,30,2,1,sqrt,True,0.6648570972377454,0.6687959118492495,39.90313653699923
BO,14,20,24,2,1,sqrt,False,0.663572343149808,0.6687959118492495,40.367546866998964
BO,15,20,27,20,1,sqrt,True,0.662672064777328,0.6687959118492495,40.73783944100069
BO,16,300,26,20,1,sqrt,False,0.6691461836998707,0.6691461836998707,43.930215570000655
BO,17,20,17,20,1,,True,0.6692233940556088,0.6692233940556088,44.82611242299936
BO,18,20,4,2,1,,False,0.5966530054644809,0.6692233940556088,45.098253984999246
BO,19,20,15,20,15,,True,0.6673117239154975,0.6692233940556088,45.8517464359993
BO,20,300,18,20,9,,True,0.6688071921656766,0.6692233940556088,55.113929961000395
BO,21,20,30,20,15,log2,False,0.6330814441645676,0.6692233940556088,55.385371377999036
BO,22,300,24,2,15,sqrt,False,0.6515001648532806,0.6692233940556088,57.252976657000545
BO,23,20,22,2,15,,True,0.6682623264719961,0.6692233940556088,58.105872759000704
BO,24,300,30,2,1,sqrt,False,0.6643511209346384,0.6692233940556088,63.473245301000134
BO,25,20,20,2,1,,True,0.6665625,0.6692233940556088,64.60649398199894
BO,26,300,23,2,1,sqrt,True,0.6667746113989638,0.6692233940556088,67.88859944400065
BO,27,300,26,20,1,sqrt,True,0.6690334032596418,0.6692233940556088,70.74650448799912
BO,28,300,20,20,1,sqrt,False,0.6622886225578722,0.6692233940556088,73.47861745800037
BO,29,300,20,2,15,,True,0.6667735728030789,0.6692233940556088,82.59886034699957
BO,30,20,19,9,15,,True,0.66848,0.6692233940556088,83.54345245399963
BO,31,20,30,2,15,,True,0.6673037107819717,0.6692233940556088,84.4709394750007
BO,32,300,30,20,15,,True,0.66527866752082,0.6692233940556088,93.912440565
BO,33,20,30,20,15,,True,0.6673037107819717,0.6692233940556088,94.77842544899977
BO,34,300,16,12,1,,True,0.6716033483580167,0.6716033483580167,104.25608196999929
BO,35,300,4,2,1,sqrt,True,0.44613114062829434,0.6716033483580167,104.95383623999987
BO,36,20,18,20,15,sqrt,False,0.6452472115864825,0.6716033483580167,105.47699278599976
BO,37,300,25,14,15,sqrt,True,0.6478966545213647,0.6716033483580167,107.0525737959997
BO,38,20,30,20,1,,True,0.6664550936210727,0.6716033483580167,108.19836014400062
BO,39,300,26,2,1,,True,0.6678244395326808,0.6716033483580167,122.83104240499961
BO,40,300,24,20,1,,True,0.6702910137511993,0.6716033483580167,135.19968664000044
BO,41,300,22,20,1,sqrt,True,0.6642658372892454,0.6716033483580167,137.43125149799926
BO,42,300,30,20,1,sqrt,True,0.6711777025938457,0.6716033483580167,140.095779923
BO,43,20,26,14,9,,True,0.6663475347056008,0.6716033483580167,141.12933899999916
BO,44,300,30,20,1,sqrt,False,0.6694547209264918,0.6716033483580167,144.63693355400028
BO,45,300,15,20,1,,True,0.6692594393129152,0.6716033483580167,153.1919492929992
BO,46,300,19,12,1,,True,0.673058485139022,0.673058485139022,164.55506502500066
BO,47,20,30,20,1,sqrt,False,0.6636713735558408,0.673058485139022,165.05310219400053
BO,48,300,20,2,1,sqrt,False,0.6624120438553428,0.673058485139022,168.42804980599976
BO,49,300,18,2,1,,True,0.6733492442322991,0.6733492442322991,180.0561841639992
BO,50,300,24,20,15,log2,False,0.6246369383222279,0.6733492442322991,181.2654952619996
BO,51,300,20,2,1,,True,0.6742712294043093,0.6742712294043093,194.30344156799947
BO,52,20,14,20,1,,False,0.6618855520693262,0.6742712294043093,195.29716004699912
BO,53,20,11,20,15,,False,0.662387284120434,0.6742712294043093,196.0855160760002
BO,54,300,11,20,1,,False,0.6633272616879174,0.6742712294043093,203.46764395599894
BO,55,300,21,6,1,,True,0.6749245672542481,0.6749245672542481,215.51877873599915
BO,56,300,22,2,1,,True,0.6721492962201486,0.6749245672542481,228.9802383719998
BO,57,300,30,2,1,,True,0.6653074027603513,0.6749245672542481,243.77364402400053
BO,58,300,25,2,1,sqrt,False,0.6660250240615977,0.6749245672542481,248.10034062600062
BO,59,20,15,20,1,sqrt,False,0.6540630182421228,0.6749245672542481,248.4322180649997
BO,60,300,21,10,1,,True,0.6741107034614771,0.6749245672542481,260.16982791400005
BO,61,20,13,20,1,,True,0.6695708292997741,0.6749245672542481,260.90305658299985
BO,62,300,20,6,1,,True,0.6750317662007624,0.6750317662007624,272.55619855999976
BO,63,20,30,2,1,sqrt,True,0.6648768161718257,0.6750317662007624,273.0665150730001
BO,64,300,20,6,1,,True,0.6750317662007624,0.6750317662007624,284.7845530049999
QMC,1,142,21,10,4,log2,True,0.6420207427233189,0.6420207427233189,0.555240531999516
QMC,2,249,9,18,15,log2,False,0.5744873888586464,0.6420207427233189,1.0209855649991368
QMC,3,182,27,5,7,,False,0.626502311248074,0.6420207427233189,11.139711427998918
QMC,4,70,15,15,11,sqrt,True,0.6406171390239812,0.6420207427233189,11.440028593999159
QMC,5,54,24,16,9,sqrt,True,0.652325004137018,0.652325004137018,11.756839296998805
QMC,6,197,12,7,6,,False,0.6736331970316523,0.6736331970316523,17.314133320998735
QMC,7,269,17,13,12,,False,0.6414021790620559,0.6736331970316523,28.686937026999658
QMC,8,122,5,4,2,sqrt,True,0.5294682280668075,0.6736331970316523,28.906189933999485
QMC,9,107,29,12,5,log2,True,0.6411371237458194,0.6736331970316523,29.344875576998675
QMC,10,284,16,3,9,log2,False,0.6301790281329923,0.6736331970316523,30.227630858998964
QMC,11,216,23,17,1,sqrt,False,0.6682926829268293,0.6736331970316523,32.278065843998775
QMC,12,35,9,8,12,,True,0.6526454157081827,0.6736331970316523,32.755294576998494
QMC,13,90,20,4,14,,True,0.66934835076428,0.6736331970316523,35.48905888199988
QMC,14,162,6,14,3,sqrt,False,0.575077540594782,0.6736331970316523,35.78736159299842
QMC,15,234,27,11,10,log2,False,0.6378323796701447,0.6736331970316523,36.66858400199999
QMC,16,157,12,20,6,log2,True,0.612829924838315,0.6736331970316523,37.059580551998806
QMC,17,144,26,2,13,sqrt,False,0.65329607101759,0.6736331970316523,37.95561710699985
QMC,18,247,13,11,2,,True,0.6677519127462153,0.6736331970316523,43.62215287299841
QMC,19,174,19,8,9,log2,True,0.6292824271348219,0.6736331970316523,44.1652212909994
QMC,20,76,7,18,6,log2,False,0.5498591549295775,0.6736331970316523,44.29973780399996
QMC,21,22,22,14,8,sqrt,False,0.6570774762994442,0.6736331970316523,44.488731468998594
QMC,22,229,10,5,11,,True,0.6557269445356088,0.6736331970316523,47.969700476998696
QMC,23,298,28,19,4,,True,0.6702927531594944,0.6736331970316523,58.75098364199948
QMC,24,94,17,10,15,sqrt,False,0.64330997664331,0.6736331970316523,59.2944340009999
QMC,25,109,18,18,10,,False,0.6372379000472962,0.6736331970316523,64.55692540199925
QMC,26,282,4,9,7,sqrt,True,0.44585180493983534,0.6736331970316523,64.97555083799853
QMC,27,210,25,15,13,log2,True,0.6301649379357253,0.6736331970316523,65.61076893399877
QMC,28,41,11,6,3,log2,False,0.606600314300681,0.6736331970316523,65.7531402959994
QMC,29,56,28,7,2,log2,False,0.6589236054310486,0.6736331970316523,66.2061313260001
QMC,30,195,14,17,12,log2,True,0.6157053509381515,0.6736331970316523,66.72197021399916
QMC,31,262,21,4,5,sqrt,True,0.6539923954372624,0.6736331970316523,68.22427845499988
QMC,32,129,8,12,8,,False,0.6486397902327106,0.6736331970316523,69.93032018299891
QMC,33,130,27,17,14,sqrt,False,0.6519591702337834,0.6736331970316523,70.72385222799858
QMC,34,259,15,8,4,,True,0.6686046511627907,0.6736331970316523,78.11493363299996
QMC,35,187,21,12,11,,True,0.6709306044131755,0.6736331970316523,84.00577725799849
QMC,36,62,8,3,8,sqrt,False,0.6195426195426196,0.6736331970316523,84.16908046199933
QMC,37,43,17,11,6,sqrt,False,0.6513639387890885,0.6736331970316523,84.45149370299987
QMC,38,206,5,20,9,,True,0.6184053269591941,0.6736331970316523,85.52610832499886
QMC,39,274,24,5,3,log2,True,0.6470784641068448,0.6736331970316523,86.70928613799879
QMC,40,114,11,13,13,log2,False,0.599009900990099,0.6736331970316523,86.98254907799856
QMC,41,95,23,6,8,,False,0.6315952344112641,0.6736331970316523,91.93153455099855
QMC,42,294,9,15,5,log2,True,0.581294964028777,0.6736331970316523,92.49797063799997
QMC,43,222,30,9,12,sqrt,True,0.6508641975308642,0.6736331970316523,93.60693562799861
QMC,44,27,15,19,2,,False,0.6416403785488959,0.6736331970316523,94.89241287899858
QMC,45,77,26,13,3,,False,0.6280717624001206,0.6736331970316523,99.62930794099884
QMC,46,172,13,4,14,sqrt,True,0.6358595194085028,0.6736331970316523,100.23233983999853
QMC,47,239,20,16,7,log2,True,0.6312213351452353,0.6736331970316523,101.00104490499871
QMC,48,150,6,7,11,log2,False,0.4586811352253756,0.6736331970316523,101.22913712399895
QMC,49,154,19,15,2,sqrt,True,0.6601781590234246,0.6736331970316523,102.1621612509989
QMC,50,235,7,6,13,,False,0.623175965665236,0.6736331970316523,104.76337123799931
QMC,51,167,25,18,6,,False,0.6323416062895021,0.6736331970316523,114.36875502699877
QMC,52,81,14,9,10,sqrt,True,0.6391267842149454,0.6736331970316523,114.74633305499992
