method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,f1,best_f1,elapsed_time
BO,1,63,23,7,9,log2,False,0.6538331644714623,0.6538331644714623,0.26495389899992006
BO,2,58,11,13,15,sqrt,True,0.6513268390997649,0.6538331644714623,0.47748447699996177
BO,3,235,8,16,1,,True,0.6696443341604632,0.6696443341604632,2.8401970839995556
BO,4,249,11,15,11,,False,0.6622821440315686,0.6696443341604632,8.541458671999862
BO,5,235,26,9,7,log2,True,0.6537685060565276,0.6696443341604632,9.445131042999492
BO,6,139,16,9,7,,True,0.6885763943750988,0.6885763943750988,13.595431613000073
BO,7,104,9,3,8,,True,0.676418007476028,0.6885763943750988,14.922083329999623
BO,8,97,21,11,8,log2,True,0.6556280314433852,0.6885763943750988,15.279431041999487
BO,9,154,27,5,15,log2,True,0.6374829001367989,0.6885763943750988,15.733536286000344
BO,10,262,29,10,11,sqrt,True,0.674588963047371,0.6885763943750988,17.046899060000214
BO,11,105,22,7,5,,True,0.6876781754830535,0.6885763943750988,21.082093748999796
BO,12,72,21,13,8,,True,0.6848792884371029,0.6885763943750988,23.74798817499959
BO,13,251,20,3,7,,True,0.687450545972464,0.6885763943750988,32.20420758900036
BO,14,64,18,2,5,,True,0.6927444794952682,0.6927444794952682,34.689922202999696
BO,15,20,18,2,1,,True,0.68700140778977,0.6927444794952682,35.75747530599983
BO,16,20,30,2,1,sqrt,False,0.6724890829694323,0.6927444794952682,36.338743921999594
BO,17,20,18,2,7,,True,0.6864433811802233,0.6927444794952682,37.25141703099962
BO,18,203,18,2,3,,True,0.6897856242118537,0.6927444794952682,44.66516832399975
BO,19,300,30,2,1,,False,0.6333714939896966,0.6927444794952682,66.55093048300023
BO,20,20,30,20,1,sqrt,True,0.6865861411315957,0.6927444794952682,66.93722555600016
BO,21,300,30,2,1,sqrt,True,0.6844444444444444,0.6927444794952682,70.69936045899976
BO,22,20,21,2,1,sqrt,True,0.6756931012250161,0.6927444794952682,71.06709717499962
BO,23,20,4,20,1,sqrt,False,0.4757201646090535,0.6927444794952682,71.24753485400015
BO,24,300,4,20,1,log2,True,0.1791277258566978,0.6927444794952682,71.86524155300049
BO,25,300,19,20,15,sqrt,True,0.6636948984645864,0.6927444794952682,73.33898269200017
BO,26,20,30,2,15,,True,0.6794790343074968,0.6927444794952682,74.17258507899987
BO,27,20,17,2,15,sqrt,True,0.6604496253122398,0.6927444794952682,74.43439957499959
BO,28,300,27,20,1,sqrt,False,0.688550840672538,0.6927444794952682,77.65124893899974
BO,29,20,30,20,1,,True,0.6831636648394676,0.6927444794952682,78.73029964100078
BO,30,300,26,20,1,sqrt,True,0.6884454457676215,0.6927444794952682,81.08716360500057
BO,31,300,13,2,15,,True,0.6863117870722434,0.6927444794952682,87.50541120499929
BO,32,300,27,20,15,,True,0.6829113924050633,0.6927444794952682,96.50049494200084
BO,33,20,23,20,1,sqrt,False,0.6842783505154639,0.6927444794952682,96.89693346299919
BO,34,300,13,2,1,,True,0.6901452937460518,0.6927444794952682,103.85276558799978
BO,35,20,27,20,15,,True,0.6797011603878557,0.6927444794952682,104.69991579799989
BO,36,20,25,20,1,log2,True,0.6747533559760635,0.6927444794952682,105.00539815100001
BO,37,300,23,2,1,sqrt,False,0.6882371692700032,0.6927444794952682,108.81891621699924
BO,38,300,24,20,1,,True,0.6901341752170481,0.6927444794952682,120.42169867100074
BO,39,300,27,2,1,,True,0.6875484571251357,0.6927444794952682,135.67052710299959
BO,40,20,27,2,1,sqrt,True,0.6754441624365483,0.6927444794952682,136.14870218300075
BO,41,300,19,20,1,sqrt,False,0.6814766416203855,0.6927444794952682,138.70134462999977
BO,42,300,15,2,1,sqrt,True,0.6713031958933598,0.6927444794952682,140.50563093499932
BO,43,300,15,20,1,,True,0.6885556432517759,0.6927444794952682,149.0192124489995
BO,44,300,30,20,1,sqrt,True,0.6905027932960894,0.6927444794952682,151.69567572399956
BO,45,20,13,20,1,,True,0.6906906906906907,0.6927444794952682,152.37294068500069
BO,46,20,13,2,1,,True,0.6917765222849969,0.6927444794952682,153.0788224229991
BO,47,20,13,20,15,,True,0.6869166271159627,0.6927444794952682,153.73136600400085
BO,48,20,30,20,1,log2,False,0.6817082997582594,0.6927444794952682,154.1079054440006
BO,49,300,23,20,1,sqrt,False,0.6865912762520194,0.6927444794952682,157.10233090699967
BO,50,300,30,20,1,log2,False,0.683752417794971,0.6927444794952682,159.96809048900013
BO,51,20,16,20,1,sqrt,True,0.6747860434496379,0.6927444794952682,160.25977972700002
BO,52,20,17,2,1,,False,0.6594071385359952,0.6927444794952682,161.57998146000045
BO,53,300,30,20,1,sqrt,False,0.6867007672634271,0.6927444794952682,165.16475767099928
BO,54,300,23,2,1,,True,0.6870419460470918,0.6927444794952682,179.183862719
BO,55,20,26,2,1,,True,0.673818407960199,0.6927444794952682,180.441310616
BO,56,300,30,20,1,,True,0.6882565634334225,0.6927444794952682,193.16491441299968
BO,57,300,20,20,1,,True,0.6907770056854075,0.6927444794952682,204.35873228900073
BO,58,300,26,20,1,log2,False,0.6813151041666666,0.6927444794952682,206.8660313850005
BO,59,20,14,2,15,,True,0.6851881250992221,0.6927444794952682,207.59622990700063
BO,60,20,17,20,1,,True,0.6880429631969673,0.6927444794952682,208.47337574500034
BO,61,171,15,2,1,,True,0.6931871574001566,0.6931871574001566,213.79426915599925
BO,62,300,16,2,1,,True,0.6941139636819036,0.6941139636819036,223.6779943650008
BO,63,300,30,2,1,,True,0.6808971384377417,0.6941139636819036,238.95684108499972
BO,64,300,16,2,1,,True,0.6941139636819036,0.6941139636819036,248.85722890200032
QMC,1,40,13,19,4,sqrt,True,0.6592592592592592,0.6592592592592592,0.192980752000949
QMC,2,166,29,6,12,log2,False,0.6552304069963001,0.6592592592592592,0.806668728000659
QMC,3,246,8,12,7,,False,0.6662366978394066,0.6662366978394066,3.9925248039999133
QMC,4,118,18,7,8,log2,True,0.6528059499661933,0.6662366978394066,4.376000659000056
QMC,5,142,6,3,11,sqrt,True,0.5969987344060749,0.6662366978394066,4.644207299001209
QMC,6,292,23,17,6,,False,0.6448070285534986,0.6662366978394066,20.154634487000294
QMC,7,216,14,10,14,log2,False,0.6348440461830088,0.6662366978394066,20.739725240000553
QMC,8,60,25,14,2,sqrt,True,0.6866441114870308,0.6866441114870308,21.207151069000247
QMC,9,79,10,11,5,,True,0.6795768917819366,0.6866441114870308,22.438976143001128
QMC,10,198,20,15,10,sqrt,False,0.6739130434782609,0.6866441114870308,23.64240704400072
QMC,11,275,11,2,2,log2,False,0.6270858949587212,0.6866441114870308,24.32870134699988
QMC,12,158,28,16,14,,True,0.6814089401358395,0.6866441114870308,29.359556189001523
QMC,13,99,17,13,12,,True,0.6863585834524377,0.6866441114870308,32.26537128500058
QMC,14,264,25,8,4,sqrt,False,0.684789644012945,0.6866441114870308,34.37766813100097
QMC,15,183,5,18,9,sqrt,False,0.5591844440249197,0.6866441114870308,34.665107493001415
QMC,16,24,20,5,8,log2,True,0.6480824463591823,0.6866441114870308,34.78200873800051
QMC,17,31,4,15,14,log2,False,0.19606841970896094,0.6866441114870308,34.84796728600122
QMC,18,193,22,10,1,,True,0.6888853953780852,0.6888853953780852,42.52306601100099
QMC,19,253,15,16,11,log2,True,0.6316879530548843,0.6888853953780852,43.17573712600097
QMC,20,92,27,3,5,sqrt,False,0.6857879471479214,0.6888853953780852,43.93659603100059
QMC,21,147,11,8,7,sqrt,False,0.6565298192262207,0.6888853953780852,44.42978934600069
QMC,22,269,27,13,9,log2,True,0.6517345907713035,0.6888853953780852,45.30025230300089
QMC,23,204,10,5,4,,True,0.6796938609347012,0.6888853953780852,48.2832348130014
QMC,24,90,19,19,13,log2,False,0.6466598847066802,0.6888853953780852,48.59880627000166
QMC,25,70,15,6,9,,False,0.6705827794094914,0.6888853953780852,51.156286211000406
QMC,26,223,24,20,7,log2,True,0.6521592442645074,0.6888853953780852,51.90681185500034
QMC,27,285,7,7,12,sqrt,True,0.6135641116213352,0.6888853953780852,52.459162604000085
QMC,28,131,22,11,3,,False,0.6440625958883093,0.6888853953780852,59.32688211900131
QMC,29,112,8,18,2,log2,False,0.5848918225155849,0.6888853953780852,59.53959743900123
QMC,30,235,18,4,15,sqrt,True,0.6612285666722157,0.6888853953780852,60.51157349400091
QMC,31,177,13,13,5,sqrt,True,0.6632227962006332,0.6888853953780852,61.165905019001
QMC,32,46,30,9,10,,False,0.6519456454601605,0.6888853953780852,63.45768658199995
QMC,33,53,9,2,13,sqrt,False,0.6331658291457286,0.6888853953780852,63.614052750001065
QMC,34,172,17,16,4,log2,True,0.654158215010142,0.6888853953780852,64.17115435699998
QMC,35,231,14,11,9,,True,0.6866286438529785,0.6888853953780852,69.71258255600151
QMC,36,114,28,15,6,log2,False,0.6641234035495107,0.6888853953780852,70.23451261900118
QMC,37,125,14,18,6,log2,False,0.6434095205361746,0.6888853953780852,70.61456295500102
QMC,38,291,24,4,11,,True,0.6843274111675127,0.6888853953780852,79.91904858199996
QMC,39,226,6,13,1,,True,0.6521150592216582,0.6888853953780852,81.36244647400054
