method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,best_f1,elapsed_time
BO,1,89,8,16,13,0.63216011042098,0.63216011042098,0.2102994389988453
BO,2,195,20,18,12,0.6750819672131148,0.6750819672131148,1.107655743999203
BO,3,70,8,10,6,0.6369426751592356,0.6750819672131148,1.2713770030004525
BO,4,181,7,15,8,0.6248690185120503,0.6750819672131148,1.6142284109992033
BO,5,180,21,15,11,0.6719367588932806,0.6750819672131148,2.507493725999666
BO,6,70,7,6,1,0.6289592760180995,0.6750819672131148,2.6638775339997665
BO,7,121,7,12,13,0.6151952163207879,0.6750819672131148,2.90228071599995
BO,8,76,7,6,15,0.6113154668067963,0.6750819672131148,3.0605167809990235
BO,9,261,18,10,3,0.6805074971164936,0.6805074971164936,4.500218855999265
BO,10,101,20,8,11,0.6741166803615448,0.6805074971164936,5.013028080998993
BO,11,20,15,20,1,0.6819003781029097,0.6819003781029097,5.370131166999272
BO,12,300,15,20,1,0.6754022225908111,0.6819003781029097,6.879667522000091
BO,13,20,18,20,1,0.6849404470549845,0.6849404470549845,7.18512609499885
BO,14,20,17,2,1,0.6804925469863902,0.6849404470549845,7.488527819999945
BO,15,20,30,20,1,0.6942148760330579,0.6942148760330579,7.811429678999048
BO,16,300,30,2,1,0.6918199112238428,0.6942148760330579,11.836059830999147
BO,17,300,30,20,15,0.6755787414411477,0.6942148760330579,13.355467585999577
BO,18,20,30,2,1,0.6836830566865018,0.6942148760330579,13.80071179299921
BO,19,300,30,20,1,0.6949288113901776,0.6949288113901776,16.402863441999216
BO,20,234,28,20,1,0.6928399034593725,0.6949288113901776,18.43639448799877
BO,21,198,30,20,1,0.6955825864276568,0.6955825864276568,20.274974607998956
BO,22,300,30,14,1,0.6933758978451716,0.6955825864276568,22.99734199699924
BO,23,20,15,20,15,0.6634422948632421,0.6955825864276568,23.23234341100033
BO,24,115,29,20,1,0.6945378824283197,0.6955825864276568,24.374774525000248
BO,25,300,27,2,1,0.6928832988377647,0.6955825864276568,28.12621707499966
BO,26,20,26,20,1,0.6979929913985345,0.6979929913985345,28.44383905599898
BO,27,20,25,2,1,0.6881141045958795,0.6979929913985345,28.91406599199945
BO,28,20,25,20,1,0.6930062131591525,0.6979929913985345,29.320264993999444
BO,29,20,27,20,1,0.697911684999203,0.6979929913985345,29.69419140900027
BO,30,20,26,20,7,0.6881927710843373,0.6979929913985345,30.038694482998835
BO,31,20,27,20,1,0.697911684999203,0.6979929913985345,30.440525640999113
BO,32,114,26,20,1,0.6930247508839601,0.6979929913985345,31.520633181999074
BO,33,20,27,13,1,0.6909439386679445,0.6979929913985345,31.865446502999475
BO,34,300,24,2,1,0.6932692307692307,0.6979929913985345,35.17544050699871
BO,35,300,21,2,1,0.689911218724778,0.6979929913985345,38.02230747399881
BO,36,300,25,2,15,0.6750613246116108,0.6979929913985345,39.510661730999345
BO,37,300,13,2,1,0.6738985313751669,0.6979929913985345,40.841575602000376
BO,38,20,26,20,1,0.6979929913985345,0.6979929913985345,41.5074601439992
BO,39,20,26,20,1,0.6979929913985345,0.6979929913985345,42.088924161998875
BO,40,20,12,20,1,0.666889520307538,0.6979929913985345,42.40333115099929
BO,41,20,22,2,1,0.6868492711837257,0.6979929913985345,43.06487549299891
BO,42,300,30,2,15,0.6755787414411477,0.6979929913985345,45.15095868000026
BO,43,20,26,20,1,0.6979929913985345,0.6979929913985345,45.80564988399965
BO,44,20,26,20,1,0.6979929913985345,0.6979929913985345,46.39370135799982
BO,45,20,26,20,1,0.6979929913985345,0.6979929913985345,46.94337703400015
BO,46,20,26,20,1,0.6979929913985345,0.6979929913985345,47.7311337430001
BO,47,20,26,20,1,0.6979929913985345,0.6979929913985345,48.1039322710003
BO,48,20,26,20,1,0.6979929913985345,0.6979929913985345,48.81107796299875
BO,49,300,20,20,1,0.6846493379107406,0.6979929913985345,51.244311577998815
BO,50,20,26,20,1,0.6979929913985345,0.6979929913985345,52.19819534300041
