method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,best_f1,elapsed_time
BO,51,20,26,20,1,0.6979929913985345,0.6979929913985345,52.864758268000514
BO,52,20,26,20,1,0.6979929913985345,0.6979929913985345,53.553471848999834
BO,53,20,26,20,1,0.6979929913985345,0.6979929913985345,54.27235973399911
BO,54,20,26,20,1,0.6979929913985345,0.6979929913985345,54.718273463000514
BO,55,20,26,20,1,0.6979929913985345,0.6979929913985345,55.275531736999255
BO,56,20,26,20,1,0.6979929913985345,0.6979929913985345,56.04290992700044
BO,57,20,26,20,1,0.6979929913985345,0.6979929913985345,56.47564472799968
BO,58,20,26,20,1,0.6979929913985345,0.6979929913985345,56.99734699600049
BO,59,20,26,20,1,0.6979929913985345,0.6979929913985345,57.69992004099913
BO,60,20,26,20,1,0.6979929913985345,0.6979929913985345,58.45191463300034
BO,61,20,26,20,1,0.6979929913985345,0.6979929913985345,59.045570644999316
BO,62,20,26,20,1,0.6979929913985345,0.6979929913985345,59.52166733099875
BO,63,20,26,20,1,0.6979929913985345,0.6979929913985345,60.335169902000416
BO,64,20,26,20,1,0.6979929913985345,0.6979929913985345,60.8155901099999
QMC,1,32,12,4,8,0.6627318718381113,0.6627318718381113,0.13729450699975132
QMC,2,161,25,12,5,0.685825621042377,0.685825621042377,1.1441702669999358
QMC,3,268,10,11,14,0.6573497221754504,0.685825621042377,1.825363212999946
QMC,4,136,23,18,3,0.6892417368762151,0.6892417368762151,2.680711921000693
QMC,5,114,7,15,1,0.6261112079484051,0.6892417368762151,2.9082660320000286
QMC,6,263,20,5,12,0.6740983606557377,0.6892417368762151,4.11156222200043
QMC,7,229,15,17,7,0.6718724040538295,0.6892417368762151,5.040151872999559
QMC,8,78,28,7,10,0.682230869001297,0.6892417368762151,5.47617229000025
QMC,9,64,8,16,13,0.6300848191102648,0.6892417368762151,5.6161321950003185
QMC,10,199,21,9,2,0.6883645240032547,0.6892417368762151,6.893156837000788
QMC,11,232,13,14,11,0.6673326673326674,0.6892417368762151,7.685540860000401
QMC,12,101,25,6,8,0.6827922077922078,0.6892417368762151,8.274077576001218
QMC,13,149,16,9,6,0.671994671994672,0.6892417368762151,8.959410487999776
QMC,14,298,29,19,10,0.6826813828923876,0.6892417368762151,10.473541856001248
QMC,15,192,4,2,4,0.45452609158679447,0.6892417368762151,10.745607146000111
QMC,16,45,18,12,14,0.6731274638633377,0.6892417368762151,10.969444313999702
QMC,17,46,5,8,7,0.5384310618066561,0.6892417368762151,11.055653772000369
QMC,18,182,18,16,10,0.6709465020576132,0.6892417368762151,11.882951446999868
QMC,19,284,16,6,1,0.6811881188118812,0.6892417368762151,13.399360630999581
QMC,20,154,30,13,12,0.6797981442292039,0.6892417368762151,14.181781999999657
QMC,21,96,13,20,14,0.6609886439545758,0.6892417368762151,14.532060986999568
QMC,22,246,26,10,3,0.6896997093961899,0.6896997093961899,16.206249123000816
QMC,23,209,9,13,9,0.652867322701052,0.6896997093961899,16.6946322269996
QMC,24,63,21,3,5,0.6855284552845529,0.6896997093961899,17.072837997000534
QMC,25,85,14,11,4,0.6730897009966778,0.6896997093961899,17.445371161000367
QMC,26,213,27,4,15,0.6714801444043321,0.6896997093961899,18.4370685720005
QMC,27,251,6,18,6,0.6096561553536434,0.6896997093961899,18.850061052000456
QMC,28,117,19,10,9,0.6744530350386577,0.6896997093961899,19.42849865500102
QMC,29,132,9,5,11,0.6518568763778192,0.6896997093961899,19.747778754999672
QMC,30,280,22,15,7,0.6803921568627451,0.6896997093961899,21.246783259999575
QMC,31,177,11,7,13,0.6591520861372813,0.6896997093961899,21.759932367000147
QMC,32,24,24,17,2,0.6916278322352563,0.6916278322352563,21.96641757799989
QMC,33,24,10,14,5,0.6588314304902619,0.6916278322352563,22.065057948000685
QMC,34,169,23,6,9,0.6791714239112706,0.6916278322352563,22.934320768999896
QMC,35,277,11,16,3,0.6634162743779422,0.6916278322352563,23.74822416800089
QMC,36,126,25,8,13,0.670935960591133,0.6916278322352563,24.36985646300127
QMC,37,124,15,2,12,0.6651069518716578,0.6916278322352563,24.858059674999822
QMC,38,253,28,13,1,0.6907926341072859,0.6916278322352563,27.037070772001243
QMC,39,221,7,9,10,0.628125,0.6916278322352563,27.441227548000825
QMC,40,86,20,19,7,0.6775670372792675,0.6916278322352563,27.918157813001017
QMC,41,55,12,11,3,0.6719116170070305,0.6916278322352563,28.13221904800048
QMC,42,208,26,19,13,0.6749428291408036,0.6916278322352563,29.18019330199968
QMC,43,240,7,4,7,0.6243478260869565,0.6916278322352563,29.61792735400013
QMC,44,93,21,12,11,0.6733585650814546,0.6916278322352563,30.10608116900039
QMC,45,157,4,17,9,0.4385927045111159,0.6916278322352563,30.326181954000276
QMC,46,290,17,7,5,0.6768010575016523,0.6916278322352563,31.738677168999857
QMC,47,182,16,15,15,0.6650033266799734,0.6916278322352563,32.45756353700017
QMC,48,54,29,4,4,0.6887631366208569,0.6916278322352563,32.86197322500084
QMC,49,38,17,18,10,0.6711719136311192,0.6916278322352563,33.06316775900086
QMC,50,190,30,10,6,0.6873376623376624,0.6916278322352563,34.21096187200055
QMC,51,293,6,11,12,0.6092014806980434,0.6916278322352563,34.68165121200036
QMC,52,145,18,3,2,0.6791399967175448,0.6916278322352563,35.54750799199974
QMC,53,105,8,8,4,0.6441372247823861,0.6916278322352563,35.79826641100044
QMC,54,237,22,18,14,0.6747501228903818,0.6916278322352563,36.87382076600079
QMC,55,200,13,5,5,0.6704526474027058,0.6916278322352563,37.60241433800002
QMC,56,72,27,15,8,0.6837329876863253,0.6916278322352563,38.02496581000014
QMC,57,76,6,6,14,0.6022808267997148,0.6916278322352563,38.16945413200119
QMC,58,222,19,14,4,0.6814304461942258,0.6916278322352563,39.35940462899998
QMC,59,259,14,8,10,0.6675567423230975,0.6916278322352563,40.30883564800024
QMC,60,109,27,16,6,0.6847226727213753,0.6916278322352563,40.967989382999804
QMC,61,140,11,13,8,0.6636515912897822,0.6916278322352563,41.38424913800009
QMC,62,271,24,3,11,0.6765665796344648,0.6916278322352563,42.73159297799975
QMC,63,168,9,20,2,0.6509577894558399,0.6916278322352563,43.145748164000906
QMC,64,34,23,9,13,0.6760609536293626,0.6916278322352563,43.35093000100096
