method,evaluation,n_estimators,max_depth,f1,best_f1,elapsed_time
BO,1,89,8,0.6417094017094017,0.6417094017094017,0.18983129200000803
BO,2,240,25,0.6876101939413367,0.6876101939413367,2.706812451000019
BO,3,195,20,0.6911215711735108,0.6911215711735108,4.24990316700007
BO,4,268,24,0.6929487179487179,0.6929487179487179,6.888403421000021
BO,5,70,8,0.6425633995887594,0.6929487179487179,7.045122132000074
BO,6,142,14,0.6753246753246753,0.6929487179487179,7.688977379999983
BO,7,181,7,0.6294751477233229,0.6929487179487179,8.01107652600001
BO,8,212,16,0.6824691358024692,0.6929487179487179,9.182712207000009
BO,9,180,21,0.6898110770224447,0.6929487179487179,10.717667523000046
BO,10,223,22,0.6873585515680569,0.6929487179487179,12.701129890000061
BO,11,300,30,0.6918199112238428,0.6929487179487179,16.458585942000013
BO,12,20,19,0.6846933848382424,0.6929487179487179,16.723240551999993
BO,13,300,21,0.689911218724778,0.6929487179487179,19.297388824999985
BO,14,20,30,0.6836830566865018,0.6929487179487179,19.657346003000043
BO,15,300,30,0.6918199112238428,0.6929487179487179,23.359483088000047
BO,16,300,27,0.6928832988377647,0.6929487179487179,26.75100894800005
BO,17,300,27,0.6928832988377647,0.6929487179487179,30.231844647999992
BO,18,300,27,0.6928832988377647,0.6929487179487179,33.672206123000024
BO,19,300,25,0.6873500719654566,0.6929487179487179,36.87168633700003
BO,20,300,29,0.6903891977760127,0.6929487179487179,40.68686770800002
BO,21,300,30,0.6918199112238428,0.6929487179487179,44.681801932999974
BO,22,300,28,0.6904761904761905,0.6929487179487179,48.28212694199999
BO,23,300,30,0.6918199112238428,0.6929487179487179,52.10951065400002
BO,24,300,30,0.6918199112238428,0.6929487179487179,55.929751592
BO,25,220,30,0.6906383652779978,0.6929487179487179,58.79851527300002
BO,26,300,20,0.6893865628042843,0.6929487179487179,61.25306317500008
BO,27,300,28,0.6904761904761905,0.6929487179487179,64.82925729500005
BO,28,20,24,0.6874304783092324,0.6929487179487179,65.15408652500003
BO,29,300,30,0.6918199112238428,0.6929487179487179,69.03216395300001
BO,30,214,28,0.6921490880253767,0.6929487179487179,71.59985833799999
BO,31,217,28,0.69307558231659,0.69307558231659,74.180968538
BO,32,212,28,0.6920393276244846,0.69307558231659,76.699086459
BO,33,182,27,0.6925761421319797,0.69307558231659,78.78110068700005
BO,34,216,28,0.6925638179800222,0.69307558231659,81.33243613600007
BO,35,179,27,0.6923932031125933,0.69307558231659,83.37405672800003
BO,36,221,28,0.691283676703645,0.69307558231659,85.98312363399998
BO,37,163,27,0.6933333333333334,0.6933333333333334,87.87113985300005
BO,38,140,27,0.6927232284715602,0.6933333333333334,89.52452393700003
BO,39,138,27,0.6934561626429478,0.6934561626429478,91.12413468600005
BO,40,119,27,0.692540162239542,0.6934561626429478,92.51886566500002
BO,41,118,27,0.6927108146736541,0.6934561626429478,93.90726636900001
BO,42,148,26,0.6906772908366534,0.6934561626429478,95.58100316399998
BO,43,20,27,0.6803537586860392,0.6934561626429478,95.92404211799999
BO,44,147,30,0.6893603546548448,0.6934561626429478,97.85035642800005
BO,45,111,23,0.6913975055964183,0.6934561626429478,99.00166557900002
BO,46,163,28,0.6902122267975926,0.6934561626429478,100.96342541299998
BO,47,143,25,0.6904267220712802,0.6934561626429478,102.53429696199998
BO,48,107,21,0.6914653784219001,0.6934561626429478,103.53538189599999
BO,49,133,19,0.6871345029239766,0.6934561626429478,104.57324294500006
BO,50,189,27,0.693028426234715,0.6934561626429478,106.769026661
BO,51,189,27,0.693028426234715,0.6934561626429478,108.95536126000002
BO,52,190,27,0.6922954725972994,0.6934561626429478,111.138377472
BO,53,184,27,0.6931258929988887,0.6934561626429478,113.27626915500002
BO,54,184,27,0.6931258929988887,0.6934561626429478,115.40394803000004
BO,55,300,18,0.6856395158652273,0.6934561626429478,117.44144894300007
BO,56,175,27,0.6927108146736541,0.6934561626429478,119.48858138000003
BO,57,75,22,0.6895219700627716,0.6934561626429478,120.25946900200006
BO,58,167,28,0.6905176507835998,0.6934561626429478,122.25953932300001
BO,59,218,27,0.6923321667196946,0.6934561626429478,124.75383624100004
BO,60,172,26,0.6908974972102662,0.6934561626429478,126.69982193500005
BO,61,228,27,0.6930787589498807,0.6934561626429478,129.392692979
BO,62,300,23,0.6908274534958306,0.6934561626429478,132.737002383
BO,63,176,24,0.6944,0.6944,134.69659493400002
BO,64,300,14,0.6751209744702152,0.6944,136.190858272
QMC,1,32,12,0.6710897329573727,0.6710897329573727,0.16089023299991823
QMC,2,241,19,0.687489832438588,0.687489832438588,2.0201654229999804
QMC,3,179,9,0.6520408163265307,0.687489832438588,2.440376688000015
QMC,4,111,29,0.6921612186607426,0.6921612186607426,3.843894192999983
QMC,5,156,5,0.5757350204689244,0.6921612186607426,4.085119172999953
QMC,6,228,25,0.688871096877502,0.6921612186607426,6.5018065660000275
QMC,7,272,16,0.6827018121911038,0.6921612186607426,8.063759490999928
QMC,8,60,23,0.6922462030375699,0.6922462030375699,8.683409175999941
QMC,9,77,9,0.6535634934199283,0.6922462030375699,8.877910613999916
QMC,10,284,28,0.6901587301587302,0.6922462030375699,12.217156923999937
QMC,11,205,12,0.6728909636545515,0.6922462030375699,12.947356388999992
QMC,12,138,19,0.6868194376726799,0.6922462030375699,13.984216922999963
QMC,13,95,15,0.6796823295830576,0.6922462030375699,14.496383346000016
QMC,14,167,21,0.6905453372055502,0.6922462030375699,15.910817150999947
QMC,15,264,6,0.610410374844555,0.6922462030375699,16.314361118999955
QMC,16,51,26,0.6889066241021549,0.6922462030375699,16.90465988599999
QMC,17,40,7,0.6288623595505618,0.6922462030375699,17.00227019800002
QMC,18,251,26,0.6905786704925873,0.6922462030375699,19.67373657600001
QMC,19,173,14,0.6755363379344753,0.6922462030375699,20.451672019999933
QMC,20,100,21,0.6923200772822412,0.6923200772822412,21.336638568000012
QMC,21,132,14,0.6749958354156255,0.6923200772822412,21.940414973999964
QMC,22,200,20,0.6911215711735108,0.6923200772822412,23.52855121799996
QMC,23,297,8,0.6471389645776566,0.6923200772822412,24.089247215
QMC,24,88,27,0.6902907993008104,0.6923200772822412,25.103107844999954
QMC,25,65,16,0.6849090611174832,0.6923200772822412,25.498990993000007
QMC,26,278,23,0.6914569642570925,0.6923200772822412,28.105600658999947
QMC,27,216,4,0.4578568403218975,0.6923200772822412,28.39326985599996
QMC,28,144,24,0.6927874620182313,0.6927874620182313,29.832123756999977
QMC,29,123,10,0.6598146588037068,0.6927874620182313,30.157772783999917
QMC,30,191,30,0.6909436352121596,0.6927874620182313,32.48423285299998
QMC,31,234,11,0.669012904307022,0.6927874620182313,33.182188466999946
QMC,32,28,17,0.6825165777130843,0.6927874620182313,33.39182358300002
QMC,33,20,10,0.6678917474106247,0.6927874620182313,33.48457875600002
QMC,34,233,29,0.6906086127443191,0.6927874620182313,36.44536703799997
QMC,35,189,12,0.6738804727817547,0.6927874620182313,37.17106696399992
QMC,36,117,18,0.6832460732984293,0.6927874620182313,37.988496638000015
QMC,37,151,16,0.6838646072954322,0.6927874620182313,38.854414323000015
QMC,38,219,22,0.6868229587712207,0.6927874620182313,40.81393423299994
QMC,39,279,5,0.5671417854463616,0.6927874620182313,41.19573130899994
QMC,40,72,25,0.6876096316376973,0.6927874620182313,41.98314358899995
QMC,41,82,13,0.670549084858569,0.6927874620182313,42.333232511999995
QMC,42,294,19,0.6867273910214704,0.6927874620182313,44.46301821700001
QMC,43,198,8,0.6450953678474114,0.6927874620182313,44.86684764400002
QMC,44,125,28,0.6896770107663078,0.6927874620182313,46.36923328900002
QMC,45,107,6,0.6125869138883937,0.6927874620182313,46.55677575999994
QMC,46,175,25,0.6889493043339198,0.6927874620182313,48.40693536499998
QMC,47,254,15,0.6801124152752521,0.6927874620182313,49.68633333799994
QMC,48,45,22,0.6894219932378038,0.6927874620182313,50.119948185
QMC,49,49,14,0.6721936660586967,0.6927874620182313,50.36529710499997
QMC,50,256,21,0.6907682375726275,0.6927874620182313,52.537638367
QMC,51,161,7,0.629385203195554,0.6927874620182313,52.81891572799998
QMC,52,93,27,0.6897868278714604,0.6927874620182313,53.88177739599996
QMC,53,140,8,0.6447098976109215,0.6927874620182313,54.178061820999915
QMC,54,212,27,0.6930787589498807,0.6930787589498807,56.533273484000006
QMC,55,291,13,0.6735647530040053,0.6930787589498807,57.66836863799995
QMC,56,78,20,0.6889998389434692,0.6930787589498807,58.31122784799993
QMC,57,57,4,0.3717386284922651,0.6930787589498807,58.39932321499998
QMC,58,266,24,0.6929487179487179,0.6930787589498807,61.01448844599997
QMC,59,222,17,0.6825916230366492,0.6930787589498807,62.38155080899992
QMC,60,154,23,0.689555591208086,0.6930787589498807,63.85823293999999
QMC,61,114,11,0.6677813074736666,0.6930787589498807,64.21209516900001
QMC,62,186,18,0.6839174582377989,0.6930787589498807,65.47129706199996
QMC,63,247,10,0.6637539909258948,0.6930787589498807,66.12532937999993
QMC,64,35,29,0.6884936250590272,0.6930787589498807,66.58385752599997
